mp,season,url_school,school,player,player_id,pts,g
948,2013,air-force,Air Force,Michael Lyons,michael-lyons-1,530,30
939,2013,air-force,Air Force,Mike Fitzgerald,mike-fitzgerald-1,317,32
1023,2013,air-force,Air Force,Todd Fletcher,todd-fletcher-1,304,32
806,2013,air-force,Air Force,Taylor Broekhuis,taylor-broekhuis-1,267,32
544,2013,air-force,Air Force,Kyle Green,kyle-green-1,174,32
454,2013,air-force,Air Force,DeLovell Earls,delovell-earls-1,126,32
338,2013,air-force,Air Force,Marek Olesinski,marek-olesinski-1,107,31
345,2013,air-force,Air Force,Kamryn Williams,kamryn-williams-1,100,30
208,2013,air-force,Air Force,Cam Michael,cam-michael-1,86,21
312,2013,air-force,Air Force,Tre' Coggins,tre-coggins-1,73,31
232,2013,air-force,Air Force,Max Yon,max-yon-1,69,26
183,2013,air-force,Air Force,Justin Hammonds,justin-hammonds-1,61,22
49,2013,air-force,Air Force,Chase Kammerer,chase-kammerer-1,11,14
34,2013,air-force,Air Force,Ethan Michael,ethan-michael-1,11,8
11,2013,air-force,Air Force,Zach Moer,zach-moer-1,5,6
931,2013,akron,Akron,Zeke Marshall,zeke-marshall-1,428,33
867,2013,akron,Akron,Demetrius Treadwell,demetrius-treadwell-1,345,30
877,2013,akron,Akron,Alex Abreu,alex-abreu-1,298,29
611,2013,akron,Akron,Nick Harney,nick-harney-1,286,30
759,2013,akron,Akron,Brian Walsh,brian-walsh-1,231,32
692,2013,akron,Akron,Jake Kretzer,jake-kretzer-1,189,33
454,2013,akron,Akron,Chauncey Gilliam,chauncey-gilliam-1,162,29
393,2013,akron,Akron,Reggie McAdams,reggie-mcadams-1,147,32
370,2013,akron,Akron,Pat Forsythe,pat-forsythe-1,113,33
319,2013,akron,Akron,Adedeji Ibitayo,adedeji-ibitayo-1,86,29
378,2013,akron,Akron,Carmelo Betancourt,carmelo-betancourt-1,66,33
7,2013,akron,Akron,Jonas Stalyga,jonas-stalyga-1,14,5
7,2013,akron,Akron,Darius Hoisten,darius-hoisten-1,2,5
22,2013,akron,Akron,Blake Justice,blake-justice-1,2,7
13,2013,akron,Akron,Luke Avsec,luke-avsec-1,0,7
1002,2013,alabama-am,Alabama A&M,Demarquelle Tabb,demarquelle-tabb-1,433,31
1015,2013,alabama-am,Alabama A&M,Jeremy Crutcher,jeremy-crutcher-1,349,29
864,2013,alabama-am,Alabama A&M,Brandon Ellis,brandon-ellis-1,322,30
814,2013,alabama-am,Alabama A&M,Green Hill,green-hill-1,237,31
616,2013,alabama-am,Alabama A&M,Justin Banks,justin-banks-1,177,31
592,2013,alabama-am,Alabama A&M,Jose Long,jose-long-1,86,30
396,2013,alabama-am,Alabama A&M,Tyler Davis,tyler-davis-3,74,29
218,2013,alabama-am,Alabama A&M,Nicholas West,nicholas-west-1,72,27
224,2013,alabama-am,Alabama A&M,Justin Wagner,justin-wagner-1,69,25
241,2013,alabama-am,Alabama A&M,Justin Colvin,justin-colvin-1,66,25
122,2013,alabama-am,Alabama A&M,Arthur Capers,arther-capers-1,30,10
88,2013,alabama-am,Alabama A&M,Baryn Houston,baryn-houston-1,24,14
77,2013,alabama-am,Alabama A&M,Anthony Lanier,anthony-lanier-1,16,12
6,2013,alabama-am,Alabama A&M,David Basil,david-basil-1,2,3
1091,2013,alabama-birmingham,Alabama-Birmingham,Rod Rucker,rod-rucker-1,480,33
1008,2013,alabama-birmingham,Alabama-Birmingham,Jordan Swing,jordan-swing-1,463,33
842,2013,alabama-birmingham,Alabama-Birmingham,Fahro Alihodzic,fahro-alihodzic-1,320,33
879,2013,alabama-birmingham,Alabama-Birmingham,Robert Williams,robert-williams-2,280,33
852,2013,alabama-birmingham,Alabama-Birmingham,Terence Jones,terence-jones-1,264,33
722,2013,alabama-birmingham,Alabama-Birmingham,Preston Purifoy,preston-purifoy-1,255,33
718,2013,alabama-birmingham,Alabama-Birmingham,Quincy Taylor,quincy-taylor-1,132,33
244,2013,alabama-birmingham,Alabama-Birmingham,Isiah Jones,isiah-jones-1,61,22
101,2013,alabama-birmingham,Alabama-Birmingham,Jekore Tyler,jekore-tyler-1,58,8
122,2013,alabama-birmingham,Alabama-Birmingham,Alexander Scotland-Williamson,alexander-scotland-williamson-1,22,26
24,2013,alabama-birmingham,Alabama-Birmingham,Karl Moton,karl-moton-1,9,11
931,2013,alabama-state,Alabama State,Josh Freelove,josh-freelove-2,435,32
558,2013,alabama-state,Alabama State,Phillip Crawford,phillip-crawford-1,328,26
680,2013,alabama-state,Alabama State,Shawntez Patterson,shawntez-patterson-1,203,27
784,2013,alabama-state,Alabama State,Jamel Waters,jamel-waters-1,177,32
557,2013,alabama-state,Alabama State,Ryan Watts,ryan-watts-1,168,29
699,2013,alabama-state,Alabama State,Denaell McDaniel,denaell-mcdaniel-1,159,26
517,2013,alabama-state,Alabama State,Bobby Brown,bobby-brown-2,151,30
670,2013,alabama-state,Alabama State,Luther Page,luther-page-1,142,32
438,2013,alabama-state,Alabama State,Stephawn Brown,stephawn-brown-1,100,17
177,2013,alabama-state,Alabama State,Jonathan Jefferson,jonathan-jefferson-1,30,21
96,2013,alabama-state,Alabama State,Joshua Mason,joshua-mason-1,25,8
75,2013,alabama-state,Alabama State,Dominique Miller,dominique-miller-1,20,11
40,2013,alabama-state,Alabama State,Kimani Key,kimani-key-1,11,3
101,2013,alabama-state,Alabama State,Anthony Price,anthony-price-2,11,8
48,2013,alabama-state,Alabama State,Timothy Coleman,timothy-coleman-1,9,7
