mp,season,url_school,school,player,player_id,pts,g
1056,2010,air-force,Air Force,Evan Washington,evan-washington-1,318,31
585,2010,air-force,Air Force,Grant Parker,grant-parker-1,267,21
544,2010,air-force,Air Force,Tom Fow,tom-fow-1,255,27
829,2010,air-force,Air Force,Michael Lyons,michael-lyons-1,214,31
641,2010,air-force,Air Force,Mike McLain,mike-mclain-1,153,30
656,2010,air-force,Air Force,Todd Fletcher,todd-fletcher-1,131,31
220,2010,air-force,Air Force,Derek Brooks,derek-brooks-1,91,22
207,2010,air-force,Air Force,Mike Fitzgerald,mike-fitzgerald-1,80,24
341,2010,air-force,Air Force,Taylor Broekhuis,taylor-broekhuis-1,73,25
512,2010,air-force,Air Force,Avery Merriex,avery-merriex-1,57,28
214,2010,air-force,Air Force,Taylor Stewart,taylor-stewart-1,49,17
137,2010,air-force,Air Force,Zach Bohannon,zach-bohannon-1,38,17
168,2010,air-force,Air Force,Shawn Hempsey,shawn-hempsey-1,22,22
66,2010,air-force,Air Force,Sammy Schafer,sammy-schafer-1,22,3
14,2010,air-force,Air Force,Saj El-Amin,saj-el-amin-1,3,4
8,2010,air-force,Air Force,Adam Brakeville,adam-brakeville-1,0,3
2,2010,air-force,Air Force,Kyle Green,kyle-green-1,0,1
940,2010,akron,Akron,Jimmy Conyers,jimmy-conyers-1,353,35
742,2010,akron,Akron,Chris McKnight,chris-mcknight-1,343,35
661,2010,akron,Akron,Brett Mcknight,brett-mcknight-1,339,34
966,2010,akron,Akron,Steve McNees,steve-mcnees-1,291,35
836,2010,akron,Akron,Anthony Hitchens,anthony-hitchens-1,279,33
833,2010,akron,Akron,Darryl Roberts,darryl-roberts-1,257,35
708,2010,akron,Akron,Nikola Cvetinovic,nikola-cvetinovic-1,236,35
588,2010,akron,Akron,Zeke Marshall,zeke-marshall-1,178,35
434,2010,akron,Akron,Brett McClanahan,brett-mcclanahan-1,114,35
187,2010,akron,Akron,Ronnie Steward,ronnie-steward-1,37,30
175,2010,akron,Akron,Mike Bardo,mike-bardo-1,26,29
50,2010,akron,Akron,Tim Carroll,tim-carroll-1,8,16
15,2010,akron,Akron,Steve Swiech,steve-swiech-1,8,7
12,2010,akron,Akron,Alex Sullivan,alex-sullivan-1,3,6
5,2010,akron,Akron,Kyle Petersen,kyle-petersen-1,0,4
686,2010,alabama-am,Alabama A&M,Cornelius Hester,cornelius-hester-1,344,27
