season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2016,North Carolina A&T,4,"96.2
300","118.6
343",".0828
343","45.9
304","52.1
236","16.9
134","17.4
187","32.9
69","28.1
120","36.2
188","49.1
333","45.5
282","52.2
276","31.2
281","34.6
168","66.9
236","-4.6
264"
2015,Tennessee St.,0,"89.0
341","112.3
312",".0643
343","45.3
301","57.1
346","22.1
331","18.4
168","24.9
308","29.2
119","38
130","36.4
180","44.3
292","58.4
349","31.5
271","37
258","63.8
192","-6.6
334"
2014,New Orleans,3,"93.2
325","117.0
335",".0676
343","46.9
272","55.7
334","24.6
350","19
115","37.6
20","35.3
310","49.3
31","35.6
94","45.9
261","56.8
342","33.1
227","35.3
190","68.5
48","-5
270"
2013,Furman,1,"88.5
327","116.9
340",".0389
343","44.1
309","55.4
333","19.7
198","15.7
313","26
302","32.1
186","32.8
248","26.8
21","42.9
309","52.5
304","31
273","40.8
330","63.5
238","-9.8
346"
2012,Jackson St.,2,"83.4
344","108.8
280",".0444
343","41.7
340","47.9
118","21
257","19.3
167","32.4
151","28.7
97","36.1
169","37.7
204","37.8
345","46
103","35.7
127","34.9
181","59.6
336","-7.7
341"
2011,UMBC,2,"91.9
305","125.7
344",".0267
343","48.5
191","56
336","18.3
116","17
280","28.4
258","34.4
262","29.9
297","34.4
118","46.7
214","51.3
284","35.5
134","41.8
341","68.3
58","-5.2
288"
2010,Southern,1,"81.2
346","106.3
237",".0431
343","43.1
328","43.9
19","21
238","21.1
94","24.6
323","38.6
324","37.4
183","38.1
167","47.5
182","43.1
32","21.4
346","30.8
56","68.2
78","-7.7
342"
2009,NJIT,0,"72.5
343","110.9
303",".0075
343","40.4
342","52.3
272","25.2
331","18.3
242","27.6
285","29.3
74","30.7
274","39.4
233","42.3
321","48.5
173","23.9
340","38.8
294","65.2
190","-8.5
339"
2019,Central Connecticut,2,"89.8
345","112.2
301",".0713
342","43.8
344","52.4
237","20.2
296","16.6
237","30.6
92","26.6
127","32
174","30.6
146","42.6
336","48.7
128","31.2
301","38.1
295","71
56","-6.3
318"
2018,Chicago St.,1,"96.4
306","118.2
337",".0878
342","46.6
316","56.3
320","20.8
330","19.3
75","25.7
244","35.6
342","38.1
78","40.3
298","45
321","56.6
331","33.6
223","37.2
243","74.2
13","-5.9
320"
2017,Florida A&M,2,"92.7
333","116.6
333",".0669
342","45.9
320","53.2
263","16
73","19.6
80","26.3
248","33.2
310","40.3
75","32.1
116","45.3
303","53.4
296","31.9
280","35.3
177","68.3
184","-6.5
332"
2016,Northern Arizona,2,"91.7
331","112.9
302",".0844
342","46.4
291","55.9
335","16.7
123","16.8
208","20.7
341","26.2
63","38.9
117","33.7
109","45.8
271","52.7
285","31.6
269","40.4
326","69.6
105","-6.9
334"
2015,North Carolina A&T,3,"93.8
311","118.4
347",".0644
342","46.3
282","50.5
210","19
209","18.3
173","33.3
104","34.4
296","34.1
218","35.3
153","45.9
247","46.4
118","31.3
276","37.8
278","59.6
332","-5.1
297"
2014,Maine,2,"94.8
315","118.1
340",".0741
342","47.9
230","54.5
315","21.5
315","17.8
187","27.8
269","33.1
258","33.7
292","42.2
215","47.5
213","51.2
269","32.5
249","41.2
338","73.6
3","-5.8
297"
2013,Fairleigh Dickinson,0,"89.6
323","116.9
339",".0448
342","44.7
301","51.9
264","20.2
229","16.9
280","28.3
251","39.4
342","34
223","45.2
301","46
233","50.7
270","27.8
328","36.2
232","70.9
7","-8.1
341"
2012,Fairleigh Dickinson,1,"83.8
342","108.2
273",".0503
342","44.4
310","49.5
179","20.9
253","18.6
194","24.8
315","35
276","27
324","33.5
121","49
121","46.8
125","21
345","36.9
246","67.6
70","-6
316"
2011,Chicago St.,1,"86.8
334","118.2
341",".0279
342","42.9
335","55.2
331","21.5
276","16.2
303","28.4
258","33.4
228","35.9
209","43.6
276","43.4
308","52.7
315","27.6
330","39.3
311","69.1
37","-8
340"
2010,North Dakota,4,"99.5
217","129.7
347",".0456
342","55
15","52.6
283","21.4
258","18.9
203","27.3
286","27.5
35","48.8
24","48.8
310","47.3
189","50.3
252","42.5
10","37.1
257","65.5
190","-5.9
304"
2009,Sacramento St.,0,"80.4
340","111.6
310",".0226
342","41.1
337","55.2
324","24.6
327","18.8
224","26.1
307","37.1
308","29.6
290","40.8
253","40.3
336","57.1
337","28.6
313","34.6
168","63
282","-5.8
299"
2019,San Jose St.,1,"93.7
327","117.1
339",".0714
341","45.4
329","58.1
345","17.9
172","13.3
345","23.8
286","30.2
256","30.8
207","29.1
107","43.8
330","56
335","32.1
269","40.2
331","72.1
23","-7.8
346"
2018,Jackson St.,3,"84.3
350","103.1
139",".0898
341","41.1
350","47.6
56","18.4
238","23.1
4","30.7
89","28.8
210","23.5
339","45.7
340","39.2
351","47.7
87","29.6
319","31.6
51","66.6
257","-6.5
337"
