player,player_id,season,url_school,school,rsci
Tim Anderson,tim-anderson-1,2008,air-force,Air Force,NA
Andrew Henke,andrew-henke-1,2008,air-force,Air Force,NA
Anwar Johnson,anwar-johnson-1,2008,air-force,Air Force,NA
Keith Maren,keith-maren-1,2008,air-force,Air Force,NA
Evan Washington,evan-washington-1,2008,air-force,Air Force,NA
Matt Holland,matt-holland-1,2008,air-force,Air Force,NA
Eric Kenzik,eric-kenzik-1,2008,air-force,Air Force,NA
Adam Hood,adam-hood-1,2008,air-force,Air Force,NA
Derek Brooks,derek-brooks-1,2008,air-force,Air Force,NA
Grant Parker,grant-parker-1,2008,air-force,Air Force,NA
Tom Fow,tom-fow-1,2008,air-force,Air Force,NA
Phillip Brown,phillip-brown-1,2008,air-force,Air Force,NA
Saj El-Amin,saj-el-amin-1,2008,air-force,Air Force,NA
Mark Summerfield,mark-summerfield-1,2008,air-force,Air Force,NA
Mike McLain,mike-mclain-1,2008,air-force,Air Force,NA
Avery Merriex,avery-merriex-1,2008,air-force,Air Force,NA
Jeremiah Wood,jeremiah-wood-1,2008,akron,Akron,NA
Nick Dials,nick-dials-1,2008,akron,Akron,NA
Cedrick Middleton,cedrick-middleton-1,2008,akron,Akron,NA
Nate Linhart,nate-linhart-1,2008,akron,Akron,NA
Chris McKnight,chris-mcknight-1,2008,akron,Akron,NA
Quade Milum,quade-milum-1,2008,akron,Akron,NA
Steve McNees,steve-mcnees-1,2008,akron,Akron,NA
Brett Mcknight,brett-mcknight-1,2008,akron,Akron,NA
Darryl Roberts,darryl-roberts-1,2008,akron,Akron,NA
Jimmy Conyers,jimmy-conyers-1,2008,akron,Akron,NA
Mike Bardo,mike-bardo-1,2008,akron,Akron,NA
Nick Goddard,nick-goddard-1,2008,akron,Akron,NA
Jeremy Sallee,jeremy-sallee-1,2008,akron,Akron,NA
Tim Carroll,tim-carroll-1,2008,akron,Akron,NA
Trant Simpson,trant-simpson-2,2008,alabama-am,Alabama A&M,NA
Evan Hilton,evan-hilton-1,2008,alabama-am,Alabama A&M,NA
Mickell Gladness,mickell-gladness-1,2008,alabama-am,Alabama A&M,NA
Jonathon Belt,jonathon-belt-1,2008,alabama-am,Alabama A&M,NA
Desmond Jackson,desmond-jackson-1,2008,alabama-am,Alabama A&M,NA
Andrew Williams,andrew-williams-1,2008,alabama-am,Alabama A&M,NA
LaNorris Smith,lanorris-smith-1,2008,alabama-am,Alabama A&M,NA
