player,player_id,season,url_school,school,rsci
Michael Lyons,michael-lyons-1,2013,air-force,Air Force,NA
Mike Fitzgerald,mike-fitzgerald-1,2013,air-force,Air Force,NA
Todd Fletcher,todd-fletcher-1,2013,air-force,Air Force,NA
Taylor Broekhuis,taylor-broekhuis-1,2013,air-force,Air Force,NA
Kyle Green,kyle-green-1,2013,air-force,Air Force,NA
DeLovell Earls,delovell-earls-1,2013,air-force,Air Force,NA
Marek Olesinski,marek-olesinski-1,2013,air-force,Air Force,NA
Kamryn Williams,kamryn-williams-1,2013,air-force,Air Force,NA
Cam Michael,cam-michael-1,2013,air-force,Air Force,NA
Tre' Coggins,tre-coggins-1,2013,air-force,Air Force,NA
Max Yon,max-yon-1,2013,air-force,Air Force,NA
Justin Hammonds,justin-hammonds-1,2013,air-force,Air Force,NA
Chase Kammerer,chase-kammerer-1,2013,air-force,Air Force,NA
Ethan Michael,ethan-michael-1,2013,air-force,Air Force,NA
Zach Moer,zach-moer-1,2013,air-force,Air Force,NA
Zeke Marshall,zeke-marshall-1,2013,akron,Akron,61 (2009)
Demetrius Treadwell,demetrius-treadwell-1,2013,akron,Akron,
Alex Abreu,alex-abreu-1,2013,akron,Akron,
Nick Harney,nick-harney-1,2013,akron,Akron,
Brian Walsh,brian-walsh-1,2013,akron,Akron,
Jake Kretzer,jake-kretzer-1,2013,akron,Akron,
Chauncey Gilliam,chauncey-gilliam-1,2013,akron,Akron,
Reggie McAdams,reggie-mcadams-1,2013,akron,Akron,
Pat Forsythe,pat-forsythe-1,2013,akron,Akron,
Adedeji Ibitayo,adedeji-ibitayo-1,2013,akron,Akron,
Carmelo Betancourt,carmelo-betancourt-1,2013,akron,Akron,
Jonas Stalyga,jonas-stalyga-1,2013,akron,Akron,
Darius Hoisten,darius-hoisten-1,2013,akron,Akron,
Blake Justice,blake-justice-1,2013,akron,Akron,
Luke Avsec,luke-avsec-1,2013,akron,Akron,
Demarquelle Tabb,demarquelle-tabb-1,2013,alabama-am,Alabama A&M,NA
Jeremy Crutcher,jeremy-crutcher-1,2013,alabama-am,Alabama A&M,NA
Brandon Ellis,brandon-ellis-1,2013,alabama-am,Alabama A&M,NA
Green Hill,green-hill-1,2013,alabama-am,Alabama A&M,NA
Justin Banks,justin-banks-1,2013,alabama-am,Alabama A&M,NA
Jose Long,jose-long-1,2013,alabama-am,Alabama A&M,NA
Tyler Davis,tyler-davis-3,2013,alabama-am,Alabama A&M,NA
Nicholas West,nicholas-west-1,2013,alabama-am,Alabama A&M,NA
Justin Wagner,justin-wagner-1,2013,alabama-am,Alabama A&M,NA
Justin Colvin,justin-colvin-1,2013,alabama-am,Alabama A&M,NA
Arthur Capers,arther-capers-1,2013,alabama-am,Alabama A&M,NA
Baryn Houston,baryn-houston-1,2013,alabama-am,Alabama A&M,NA
Anthony Lanier,anthony-lanier-1,2013,alabama-am,Alabama A&M,NA
David Basil,david-basil-1,2013,alabama-am,Alabama A&M,NA
Rod Rucker,rod-rucker-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Jordan Swing,jordan-swing-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Fahro Alihodzic,fahro-alihodzic-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Robert Williams,robert-williams-2,2013,alabama-birmingham,Alabama-Birmingham,NA
Terence Jones,terence-jones-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Preston Purifoy,preston-purifoy-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Quincy Taylor,quincy-taylor-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Isiah Jones,isiah-jones-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Jekore Tyler,jekore-tyler-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Alexander Scotland-Williamson,alexander-scotland-williamson-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Karl Moton,karl-moton-1,2013,alabama-birmingham,Alabama-Birmingham,NA
Josh Freelove,josh-freelove-2,2013,alabama-state,Alabama State,NA
Phillip Crawford,phillip-crawford-1,2013,alabama-state,Alabama State,NA
Shawntez Patterson,shawntez-patterson-1,2013,alabama-state,Alabama State,NA
Jamel Waters,jamel-waters-1,2013,alabama-state,Alabama State,NA
Ryan Watts,ryan-watts-1,2013,alabama-state,Alabama State,NA
Denaell McDaniel,denaell-mcdaniel-1,2013,alabama-state,Alabama State,NA
Bobby Brown,bobby-brown-2,2013,alabama-state,Alabama State,NA
Luther Page,luther-page-1,2013,alabama-state,Alabama State,NA
Stephawn Brown,stephawn-brown-1,2013,alabama-state,Alabama State,NA
Jonathan Jefferson,jonathan-jefferson-1,2013,alabama-state,Alabama State,NA
Joshua Mason,joshua-mason-1,2013,alabama-state,Alabama State,NA
Dominique Miller,dominique-miller-1,2013,alabama-state,Alabama State,NA
Kimani Key,kimani-key-1,2013,alabama-state,Alabama State,NA
Anthony Price,anthony-price-2,2013,alabama-state,Alabama State,NA
Timothy Coleman,timothy-coleman-1,2013,alabama-state,Alabama State,NA
Devonte' Neal,devonte-neal-1,2013,alabama-state,Alabama State,NA
Terrelle Green,terrelle-green-1,2013,alabama-state,Alabama State,NA
Trevor Releford,trevor-releford-1,2013,alabama,Alabama,60 (2010)
Trevor Lacey,trevor-lacey-1,2013,alabama,Alabama,36 (2011)
Rodney Cooper,rodney-cooper-1,2013,alabama,Alabama,90 (2011)
Levi Randolph,levi-randolph-1,2013,alabama,Alabama,29 (2011)
Nick Jacobs,nick-jacobs-1,2013,alabama,Alabama,
Devonta Pollard,devonta-pollard-1,2013,alabama,Alabama,22 (2012)
Retin Obasohan,retin-obasohan-1,2013,alabama,Alabama,
Andrew Steele,andrew-steele-1,2013,alabama,Alabama,
Moussa Gueye,moussa-gueye-1,2013,alabama,Alabama,
Carl Engstrom,carl-engstrom-1,2013,alabama,Alabama,
Dakota Slaughter,dakota-slaughter-1,2013,alabama,Alabama,
Isiah Wilson,isiah-wilson-1,2013,alabama,Alabama,
Keon Blackledge,keon-blackledge-1,2013,alabama,Alabama,
Julian Goode,julian-goode-1,2013,alabama,Alabama,
Mike Black,mike-black-1,2013,albany-ny,Albany (NY),NA
Jacob Iati,jacob-iati-1,2013,albany-ny,Albany (NY),NA
Sam Rowley,sam-rowley-1,2013,albany-ny,Albany (NY),NA
Peter Hooley,peter-hooley-1,2013,albany-ny,Albany (NY),NA
John Puk,john-puk-1,2013,albany-ny,Albany (NY),NA
Blake Metcalf,blake-metcalf-1,2013,albany-ny,Albany (NY),NA
Jayson Guerrier,jayson-guerrier-1,2013,albany-ny,Albany (NY),NA
Luke Devlin,luke-devlin-1,2013,albany-ny,Albany (NY),NA
DJ Evans,dj-evans-1,2013,albany-ny,Albany (NY),NA
Gary Johnson,gary-johnson-3,2013,albany-ny,Albany (NY),NA
Chris Page,chris-page-1,2013,albany-ny,Albany (NY),NA
Dave Wiegmann,dave-wiegmann-1,2013,albany-ny,Albany (NY),NA
Reece Williams,reece-williams-1,2013,albany-ny,Albany (NY),NA
LeAntwan Luckett,leantwan-luckett-1,2013,alcorn-state,Alcorn State,NA
Anthony Nieves,anthony-nieves-1,2013,alcorn-state,Alcorn State,NA
Marquis Baker,marquis-baker-1,2013,alcorn-state,Alcorn State,NA
Anthony Evans,anthony-evans-3,2013,alcorn-state,Alcorn State,NA
Devonte Hampton,devonte-hampton-1,2013,alcorn-state,Alcorn State,NA
Ian Francis,ian-francis-1,2013,alcorn-state,Alcorn State,NA
Josh Nicholas,josh-nicholas-1,2013,alcorn-state,Alcorn State,NA
Michael Starks,michael-starks-1,2013,alcorn-state,Alcorn State,NA
Tyrel Hunt,tyrel-hunt-1,2013,alcorn-state,Alcorn State,NA
Stephane Raquil,stephane-raquil-1,2013,alcorn-state,Alcorn State,NA
Jamaal Hester,jamaal-hester-1,2013,alcorn-state,Alcorn State,NA
Terrance Birdie,terrance-birdie-1,2013,alcorn-state,Alcorn State,NA
Marius Myles,marius-myles-1,2013,alcorn-state,Alcorn State,NA
