mp,season,url_school,school,player,player_id,pts,g
959,2009,air-force,Air Force,Andrew Henke,andrew-henke-1,407,31
1025,2009,air-force,Air Force,Anwar Johnson,anwar-johnson-1,368,31
915,2009,air-force,Air Force,Matt Holland,matt-holland-1,326,31
884,2009,air-force,Air Force,Evan Washington,evan-washington-1,211,31
572,2009,air-force,Air Force,Grant Parker,grant-parker-1,187,31
461,2009,air-force,Air Force,Taylor Stewart,taylor-stewart-1,91,31
318,2009,air-force,Air Force,Sammy Schafer,sammy-schafer-1,65,23
241,2009,air-force,Air Force,Trevor Noonan,trevor-noonan-1,58,25
232,2009,air-force,Air Force,Avery Merriex,avery-merriex-1,37,26
229,2009,air-force,Air Force,Mike McLain,mike-mclain-1,24,28
155,2009,air-force,Air Force,Shawn Hempsey,shawn-hempsey-1,18,16
67,2009,air-force,Air Force,Jon Atkins,jon-atkins-1,14,12
20,2009,air-force,Air Force,Derek Brooks,derek-brooks-1,11,4
7,2009,air-force,Air Force,Phillip Brown,phillip-brown-1,2,2
100,2009,air-force,Air Force,Brandon Provost,brandon-provost-1,2,18
9,2009,air-force,Air Force,Saj El-Amin,saj-el-amin-1,0,11
6,2009,air-force,Air Force,Tom Fow,tom-fow-1,0,2
765,2009,akron,Akron,Brett Mcknight,brett-mcknight-1,403,36
1077,2009,akron,Akron,Nate Linhart,nate-linhart-1,370,36
893,2009,akron,Akron,Chris McKnight,chris-mcknight-1,332,36
786,2009,akron,Akron,Humpty Hitchens,humpty-hitchens-1,307,35
933,2009,akron,Akron,Darryl Roberts,darryl-roberts-1,298,36
774,2009,akron,Akron,Steve McNees,steve-mcnees-1,209,36
481,2009,akron,Akron,Nikola Cvetinovic,nikola-cvetinovic-1,162,36
512,2009,akron,Akron,Jimmy Conyers,jimmy-conyers-1,115,36
273,2009,akron,Akron,Brett McClanahan,brett-mcclanahan-1,89,21
535,2009,akron,Akron,Mike Bardo,mike-bardo-1,59,36
61,2009,akron,Akron,Eric Coblentz,eric-coblentz-1,20,13
113,2009,akron,Akron,Ronnie Steward,ronnie-steward-1,20,6
29,2009,akron,Akron,Steve Swiech,steve-swiech-1,17,7
43,2009,akron,Akron,Tim Carroll,tim-carroll-1,2,10
865,2009,alabama-am,Alabama A&M,Trant Simpson,trant-simpson-2,418,26
820,2009,alabama-am,Alabama A&M,Cornelius Hester,cornelius-hester-1,323,27
685,2009,alabama-am,Alabama A&M,Casey Cantey,casey-cantey-1,227,27
471,2009,alabama-am,Alabama A&M,Jonathan Inman,jonathan-inman-1,162,27
566,2009,alabama-am,Alabama A&M,John Smith,john-smith-1,157,27
570,2009,alabama-am,Alabama A&M,Desmond Jackson,desmond-jackson-1,155,27
569,2009,alabama-am,Alabama A&M,Jonathon Belt,jonathon-belt-1,149,27
323,2009,alabama-am,Alabama A&M,Kudus Ogbara,kudus-ogbara-1,52,19
205,2009,alabama-am,Alabama A&M,Royce Hamilton,royce-hamilton-1,37,23
166,2009,alabama-am,Alabama A&M,Reggie Porter,reggie-porter-1,36,25
102,2009,alabama-am,Alabama A&M,Shane Burrell,shane-burrell-1,28,15
70,2009,alabama-am,Alabama A&M,Jabari Deshields,jabari-deshields-1,17,13
14,2009,alabama-am,Alabama A&M,Marcus Lee,marcus-lee-1,0,3
1240,2009,alabama-birmingham,Alabama-Birmingham,Robert Vaden,robert-vaden-1,600,34
1157,2009,alabama-birmingham,Alabama-Birmingham,Paul Delaney,paul-delaney-1,531,33
1149,2009,alabama-birmingham,Alabama-Birmingham,Lawrence Kinnard,lawrence-kinnard-1,477,34
969,2009,alabama-birmingham,Alabama-Birmingham,Channing Toney,channing-toney-1,298,34
709,2009,alabama-birmingham,Alabama-Birmingham,Howard Crawford,howard-crawford-1,261,33
838,2009,alabama-birmingham,Alabama-Birmingham,Aaron Johnson,aaron-johnson-2,122,34
263,2009,alabama-birmingham,Alabama-Birmingham,Cameron Moore,cameron-moore-1,79,26
174,2009,alabama-birmingham,Alabama-Birmingham,Terrence Roderick,terrence-roderick-1,45,8
224,2009,alabama-birmingham,Alabama-Birmingham,Mike Davis,mike-davis-4,20,25
52,2009,alabama-birmingham,Alabama-Birmingham,Mike Jones,mike-jones-5,19,13
100,2009,alabama-birmingham,Alabama-Birmingham,Ed Berrios,ed-berrios-1,9,8
1137,2009,alabama-state,Alabama State,Brandon Brooks,brandon-brooks-1,438,32
1075,2009,alabama-state,Alabama State,Andrew Hayles,andrew-hayles-1,437,32
615,2009,alabama-state,Alabama State,Roland Fitch,roland-fitch-1,310,32
655,2009,alabama-state,Alabama State,Chief Kickingstallionsims,chief-kickingstallionsims-1,272,32
479,2009,alabama-state,Alabama State,Wesley Jones,wesley-jones-1,167,18
490,2009,alabama-state,Alabama State,Tramaine Butler,tramaine-butler-1,148,32
661,2009,alabama-state,Alabama State,Ivory White,ivory-white-1,136,30
566,2009,alabama-state,Alabama State,Rashad Provitt,rashad-provitt-1,129,22
355,2009,alabama-state,Alabama State,Menji Mundadi,menji-mundadi-1,107,31
139,2009,alabama-state,Alabama State,Byron Walker,byron-walker-1,31,10
32,2009,alabama-state,Alabama State,Jerry Stangline,jerry-stangline-1,10,7
110,2009,alabama-state,Alabama State,Jeffery Middlebrooks,jeffery-middlebrooks-1,9,20
,2009,alabama-state,Alabama State,Alexander Tolbert,alexander-tolbert-1,5,1
67,2009,alabama-state,Alabama State,Jevon Freeman,jevon-freeman-1,1,12
