mp,season,url_school,school,player,player_id,pts,g
1128,2007,air-force,Air Force,Dan Nwaelele,dan-nwaelele-1,499,35
1122,2007,air-force,Air Force,Jacob Burtschi,jacob-burtschi-1,473,35
1137,2007,air-force,Air Force,Matt McCraw,matt-mccraw-1,360,33
946,2007,air-force,Air Force,Nick Welch,nick-welch-1,346,35
1138,2007,air-force,Air Force,Tim Anderson,tim-anderson-1,318,35
451,2007,air-force,Air Force,Andrew Henke,andrew-henke-1,151,33
302,2007,air-force,Air Force,John Frye,john-frye-1,59,33
228,2007,air-force,Air Force,Anwar Johnson,anwar-johnson-1,59,32
100,2007,air-force,Air Force,Adam Hood,adam-hood-1,38,16
77,2007,air-force,Air Force,Eric Kenzik,eric-kenzik-1,27,16
69,2007,air-force,Air Force,Matt Holland,matt-holland-1,21,18
139,2007,air-force,Air Force,Ryan Teets,ryan-teets-1,20,25
70,2007,air-force,Air Force,Keith Maren,keith-maren-1,17,13
46,2007,air-force,Air Force,Grant Parker,grant-parker-1,15,9
41,2007,air-force,Air Force,Avery Merriex,avery-merriex-1,9,9
3,2007,air-force,Air Force,Saj El-Amin,saj-el-amin-1,2,1
3,2007,air-force,Air Force,Ryan Hess,ryan-hess-1,0,1
904,2007,akron,Akron,Romeo Travis,romeo-travis-1,478,32
849,2007,akron,Akron,Cedrick Middleton,cedrick-middleton-1,367,33
1004,2007,akron,Akron,Nick Dials,nick-dials-1,333,33
767,2007,akron,Akron,Jeremiah Wood,jeremiah-wood-1,331,32
1056,2007,akron,Akron,Dru Joyce,dru-joyce-1,330,33
640,2007,akron,Akron,Quade Milum,quade-milum-1,213,33
673,2007,akron,Akron,Nate Linhart,nate-linhart-1,184,31
267,2007,akron,Akron,Jimmy Conyers,jimmy-conyers-1,75,32
217,2007,akron,Akron,Chris McKnight,chris-mcknight-1,69,31
49,2007,akron,Akron,Nick Goddard,nick-goddard-1,52,16
113,2007,akron,Akron,John Rybak,john-rybak-1,36,20
19,2007,akron,Akron,Tim Carroll,tim-carroll-1,9,9
24,2007,akron,Akron,Zach Sowers,zach-sowers-1,6,10
67,2007,akron,Akron,Jeremy Sallee,jeremy-sallee-1,2,17
951,2007,alabama-am,Alabama A&M,Trant Simpson,trant-simpson-2,364,28
775,2007,alabama-am,Alabama A&M,Cornelius Hester,cornelius-hester-1,313,30
877,2007,alabama-am,Alabama A&M,Mickell Gladness,mickell-gladness-1,229,30
675,2007,alabama-am,Alabama A&M,Evan Hilton,evan-hilton-1,199,29
584,2007,alabama-am,Alabama A&M,LaNorris Smith,lanorris-smith-1,191,29
452,2007,alabama-am,Alabama A&M,Jonathan Inman,jonathan-inman-1,150,28
420,2007,alabama-am,Alabama A&M,Jonathon Belt,jonathon-belt-1,146,28
588,2007,alabama-am,Alabama A&M,Johnnie Brown,johnnie-brown-1,140,29
105,2007,alabama-am,Alabama A&M,Andrew Williams,andrew-williams-1,31,6
273,2007,alabama-am,Alabama A&M,Norris Arnold,norris-arnold-1,28,29
82,2007,alabama-am,Alabama A&M,Kudus Ogbara,kudus-ogbara-1,25,6
94,2007,alabama-am,Alabama A&M,Julian Gladness,julian-gladness-1,20,20
149,2007,alabama-am,Alabama A&M,Ryan Parker,ryan-parker-1,20,18
1150,2007,alabama-birmingham,Alabama-Birmingham,Paul Delaney,paul-delaney-1,481,31
1094,2007,alabama-birmingham,Alabama-Birmingham,Wen Mukubu,wen-mukubu-1,443,31
1079,2007,alabama-birmingham,Alabama-Birmingham,Lawrence Kinnard,lawrence-kinnard-1,402,31
623,2007,alabama-birmingham,Alabama-Birmingham,Frank Holmes,frank-holmes-1,204,31
679,2007,alabama-birmingham,Alabama-Birmingham,Maurice Gibbs,maurice-gibbs-1,170,30
520,2007,alabama-birmingham,Alabama-Birmingham,Jeremy Mayfield,jeremy-mayfield-1,145,31
,2007,alabama-birmingham,Alabama-Birmingham,Taurus Dortch,taurus-dortch-1,69,30
317,2007,alabama-birmingham,Alabama-Birmingham,Mike Davis,mike-davis-4,60,17
177,2007,alabama-birmingham,Alabama-Birmingham,Andre White,andre-white-2,29,13
106,2007,alabama-birmingham,Alabama-Birmingham,Howard Crawford,howard-crawford-1,25,21
65,2007,alabama-birmingham,Alabama-Birmingham,Roderick Ollie,roderick-ollie-1,20,6
6,2007,alabama-birmingham,Alabama-Birmingham,Thurston Rawls,thurston-rawls-1,3,3
