mp,season,url_school,school,player,player_id,pts,g
714,2018,abilene-christian,Abilene Christian,Jalone Friday,jalone-friday-1,427,32
998,2018,abilene-christian,Abilene Christian,Jaren Lewis,jaren-lewis-1,422,32
1037,2018,abilene-christian,Abilene Christian,Tevin Foster,tevin-foster-1,395,32
1027,2018,abilene-christian,Abilene Christian,Jaylen Franklin,jaylen-franklin-1,336,32
586,2018,abilene-christian,Abilene Christian,Payten Ricks,payten-ricks-1,171,26
524,2018,abilene-christian,Abilene Christian,Drake Green,drake-green-1,132,32
326,2018,abilene-christian,Abilene Christian,Hayden Howell,hayden-howell-1,122,32
300,2018,abilene-christian,Abilene Christian,Hayden Farquhar,hayden-farquhar-1,110,31
308,2018,abilene-christian,Abilene Christian,B.J. Maxwell,bj-maxwell-1,106,31
324,2018,abilene-christian,Abilene Christian,Isaiah Tripp,isaiah-tripp-1,76,27
105,2018,abilene-christian,Abilene Christian,Kolton Kohl,kolton-kohl-1,39,25
171,2018,abilene-christian,Abilene Christian,Trey Lenox,trey-lenox-1,16,29
8,2018,abilene-christian,Abilene Christian,Paul Hiepler,paul-hiepler-1,5,4
22,2018,abilene-christian,Abilene Christian,Chase Cobb,chase-cobb-1,2,6
826,2018,air-force,Air Force,Lavelle Scottie,lavelle-scottie-1,377,31
1012,2018,air-force,Air Force,Trevor Lyons,trevor-lyons-1,292,31
657,2018,air-force,Air Force,Ryan Swan-Ford,ryan-swan-ford-1,286,31
446,2018,air-force,Air Force,Ryan Manning,ryan-manning-1,175,28
481,2018,air-force,Air Force,Jacob Van,jacob-van-1,162,31
426,2018,air-force,Air Force,Frank Toohey,frank-toohey-1,151,31
507,2018,air-force,Air Force,Sid Tomes,sid-tomes-1,136,29
278,2018,air-force,Air Force,Caleb Morris,caleb-morris-1,113,23
291,2018,air-force,Air Force,Pervis Louder,pervis-louder-1,101,16
515,2018,air-force,Air Force,Keaton Van Soelen,keaton-vansoelen-1,100,28
421,2018,air-force,Air Force,C.J. Siples,cj-siples-1,96,30
110,2018,air-force,Air Force,Jonathan DeWane,jonathan-dewane-1,62,21
133,2018,air-force,Air Force,Dane Norman,dane-norman-1,40,21
44,2018,air-force,Air Force,LeSean Brown,lesean-brown-1,14,14
46,2018,air-force,Air Force,Christopher Joyce,christopher-joyce-1,6,10
19,2018,air-force,Air Force,Ameka Akaya,ameka-akaya-1,5,7
4,2018,air-force,Air Force,Charles O'Briant,charles-obriant-1,4,2
3,2018,air-force,Air Force,James Edwards,james-edwards-4,2,1
3,2018,air-force,Air Force,Bryce Hughes,bryce-hughes-1,2,1
3,2018,air-force,Air Force,Kobi Betts,kobi-betts-1,0,1
1104,2018,akron,Akron,Daniel Utomi,daniel-utomi-1,535,32
1041,2018,akron,Akron,Malcolm Duvivier,malcolm-duvivier-1,456,32
1059,2018,akron,Akron,Jimond Ivey,jimond-ivey-1,419,32
864,2018,akron,Akron,Eric Parrish,eric-parrish-1,280,32
595,2018,akron,Akron,Virshon Cotton,virshon-cotton-1,211,29
512,2018,akron,Akron,Torrey Patton,torrey-patton-1,107,32
296,2018,akron,Akron,Emmanuel Olojakpoke,emmanuel-olojakpoke-1,94,15
234,2018,akron,Akron,Jaden Sayles,jaden-sayles-1,82,16
370,2018,akron,Akron,Mark Kostelac,mark-kostelac-1,66,30
284,2018,akron,Akron,Lucas Smith,lucas-smith-1,34,25
76,2018,akron,Akron,Sina Gbadebo,sina-gbadebo-1,7,17
33,2018,akron,Akron,Craig Eubanks,craig-eubanks-1,3,6
7,2018,akron,Akron,Marquelle McIntyre,marquelle-mcintyre-1,2,10
862,2018,alabama-am,Alabama A&M,Arthur Johnson,arthur-johnson-3,347,31
762,2018,alabama-am,Alabama A&M,Andre Kennedy,andre-kennedy-1,253,29
704,2018,alabama-am,Alabama A&M,De'Edrick Petty,deedrick-petty-1,249,29
792,2018,alabama-am,Alabama A&M,Evan Wiley,evan-wiley-2,223,31
491,2018,alabama-am,Alabama A&M,Marcus Merriweather,marcus-merriweather-1,176,29
672,2018,alabama-am,Alabama A&M,Julian Walters,julian-walters-1,147,22
555,2018,alabama-am,Alabama A&M,Mohamed Sherif,mohamed-sherif-1,146,22
473,2018,alabama-am,Alabama A&M,Jalen Reeder,jalen-reeder-1,143,28
304,2018,alabama-am,Alabama A&M,Tracy Burnett,tracy-burnett-1,94,25
331,2018,alabama-am,Alabama A&M,Ariston Johnson,ariston-johnson-1,41,30
207,2018,alabama-am,Alabama A&M,Amari Goulbourne,amari-goulbourne-1,40,10
50,2018,alabama-am,Alabama A&M,Brandon Houston,brandon-houston-1,14,11
10,2018,alabama-am,Alabama A&M,Terry Ellis,terry-ellis-1,0,1
12,2018,alabama-am,Alabama A&M,Ryan McLaurin,ryan-mclaurin-1,0,3
870,2018,alabama-birmingham,Alabama-Birmingham,Chris Cokley,chris-cokley-1,542,32
1056,2018,alabama-birmingham,Alabama-Birmingham,Zack Bryant,zack-bryant-1,448,33
850,2018,alabama-birmingham,Alabama-Birmingham,William Lee,william-lee-1,344,33
924,2018,alabama-birmingham,Alabama-Birmingham,Nate Darling,nate-darling-1,333,33
759,2018,alabama-birmingham,Alabama-Birmingham,Jalen Perry,jalen-perry-1,246,33
940,2018,alabama-birmingham,Alabama-Birmingham,Nick Norton,nick-norton-1,240,32
627,2018,alabama-birmingham,Alabama-Birmingham,Lewis Sullivan,lewis-sullivan-1,238,33
303,2018,alabama-birmingham,Alabama-Birmingham,Makhtar Gueye,makhtar-gueye-1,71,32
212,2018,alabama-birmingham,Alabama-Birmingham,Deion Lavender,deion-lavender-1,54,19
82,2018,alabama-birmingham,Alabama-Birmingham,Thomas Smallwood,thomas-smallwood-1,13,11
19,2018,alabama-birmingham,Alabama-Birmingham,Hunter Reynolds,hunter-reynolds-1,7,10
8,2018,alabama-birmingham,Alabama-Birmingham,Anderson McCoy,anderson-mccoy-1,0,2
931,2018,alabama-state,Alabama State,Reginald Gee,reginald-gee-1,481,31
644,2018,alabama-state,Alabama State,Jacoby Ross,jacoby-ross-1,325,26
753,2018,alabama-state,Alabama State,Branden Johnson,branden-johnson-2,238,31
660,2018,alabama-state,Alabama State,Tobi Ewuosho,tobi-ewuosho-1,181,30
570,2018,alabama-state,Alabama State,Ed Jones,edward-jones-1,177,28
440,2018,alabama-state,Alabama State,Rodney Simeon,rodney-simeon-1,167,23
547,2018,alabama-state,Alabama State,Terrance LeFlore,terrance-leflore-1,155,31
567,2018,alabama-state,Alabama State,Gene Davis,gene-davis-1,125,31
423,2018,alabama-state,Alabama State,Fausto Pichardo,fausto-pichardo-1,123,28
218,2018,alabama-state,Alabama State,Steve Rogers,steve-rogers-1,52,20
235,2018,alabama-state,Alabama State,Austin Rogers,austin-rogers-1,50,21
129,2018,alabama-state,Alabama State,Marice Wright,marice-wright-1,27,20
78,2018,alabama-state,Alabama State,Fredens Deneus,fredens-deneus-1,22,17
30,2018,alabama-state,Alabama State,Micah Johnson,micah-johnson-1,6,7
0,2018,alabama-state,Alabama State,Demetrius Houston,demetrius-houston-1,0,2
987,2018,alabama,Alabama,Collin Sexton,collin-sexton-1,632,33
1026,2018,alabama,Alabama,John Petty,john-petty-2,368,36
806,2018,alabama,Alabama,Donta Hall,donta-hall-1,362,34
1007,2018,alabama,Alabama,Dazon Ingram,dazon-ingram-1,341,35
656,2018,alabama,Alabama,Braxton Key,braxton-key-1,182,26
501,2018,alabama,Alabama,Avery Johnson,avery-johnson-3,154,36
741,2018,alabama,Alabama,Herb Jones,herb-jones-3,147,35
451,2018,alabama,Alabama,Daniel Giddens,daniel-giddens-1,144,34
370,2018,alabama,Alabama,Alex Reese,alex-reese-1,127,32
398,2018,alabama,Alabama,Galin Smith,galin-smith-1,93,33
166,2018,alabama,Alabama,Riley Norris,riley-norris-1,43,9
56,2018,alabama,Alabama,Lawson Schaffer,lawson-schaffer-1,8,14
5,2018,alabama,Alabama,Landon Fuller,landon-fuller-1,3,2
7,2018,alabama,Alabama,Tyler Barnes,tyler-barnes-1,0,4
1128,2018,albany-ny,Albany (NY),Joe Cremo,joe-cremo-1,571,32
1082,2018,albany-ny,Albany (NY),David Nichols,david-nichols-1,467,32
896,2018,albany-ny,Albany (NY),Travis Charles,travis-charles-1,454,31
965,2018,albany-ny,Albany (NY),Greig Stire,greig-stire-1,264,32
959,2018,albany-ny,Albany (NY),Devonte Campbell,devonte-campbell-1,207,31
482,2018,albany-ny,Albany (NY),Alex Foster,alex-foster-1,148,32
308,2018,albany-ny,Albany (NY),Ahmad Clark,ahmad-clark-1,106,29
325,2018,albany-ny,Albany (NY),Costa Anderson,costa-anderson-1,94,29
200,2018,albany-ny,Albany (NY),Matt Conway,matt-conway-2,54,23
51,2018,albany-ny,Albany (NY),Xavier Cochran,xavier-cochran-1,8,13
6,2018,albany-ny,Albany (NY),Nick Fruscio,nick-fruscio-1,2,5
1030,2018,alcorn-state,Alcorn State,A.J. Mosby,aj-mosby-1,485,32
867,2018,alcorn-state,Alcorn State,Dante Sterling,dante-sterling-1,377,32
891,2018,alcorn-state,Alcorn State,Maurice Howard,maurice-howard-1,331,32
622,2018,alcorn-state,Alcorn State,Troymain Crosby,troymain-crosby-1,238,32
717,2018,alcorn-state,Alcorn State,Devon Brewer,devon-brewer-1,182,31
