mp,season,url_school,school,player,player_id,pts,g
1090,2008,air-force,Air Force,Tim Anderson,tim-anderson-1,421,30
837,2008,air-force,Air Force,Andrew Henke,andrew-henke-1,340,30
945,2008,air-force,Air Force,Anwar Johnson,anwar-johnson-1,225,30
849,2008,air-force,Air Force,Keith Maren,keith-maren-1,220,30
1006,2008,air-force,Air Force,Evan Washington,evan-washington-1,206,30
511,2008,air-force,Air Force,Matt Holland,matt-holland-1,150,30
347,2008,air-force,Air Force,Eric Kenzik,eric-kenzik-1,99,30
283,2008,air-force,Air Force,Adam Hood,adam-hood-1,59,28
58,2008,air-force,Air Force,Derek Brooks,derek-brooks-1,11,13
24,2008,air-force,Air Force,Grant Parker,grant-parker-1,9,5
35,2008,air-force,Air Force,Tom Fow,tom-fow-1,7,9
13,2008,air-force,Air Force,Phillip Brown,phillip-brown-1,6,1
24,2008,air-force,Air Force,Saj El-Amin,saj-el-amin-1,4,17
6,2008,air-force,Air Force,Mark Summerfield,mark-summerfield-1,3,4
5,2008,air-force,Air Force,Mike McLain,mike-mclain-1,0,3
17,2008,air-force,Air Force,Avery Merriex,avery-merriex-1,0,7
890,2008,akron,Akron,Jeremiah Wood,jeremiah-wood-1,436,31
1121,2008,akron,Akron,Nick Dials,nick-dials-1,416,35
928,2008,akron,Akron,Cedrick Middleton,cedrick-middleton-1,340,35
1014,2008,akron,Akron,Nate Linhart,nate-linhart-1,298,35
597,2008,akron,Akron,Chris McKnight,chris-mcknight-1,225,35
669,2008,akron,Akron,Quade Milum,quade-milum-1,205,34
630,2008,akron,Akron,Steve McNees,steve-mcnees-1,173,34
204,2008,akron,Akron,Brett Mcknight,brett-mcknight-1,105,26
327,2008,akron,Akron,Darryl Roberts,darryl-roberts-1,102,26
262,2008,akron,Akron,Jimmy Conyers,jimmy-conyers-1,75,26
310,2008,akron,Akron,Mike Bardo,mike-bardo-1,54,35
60,2008,akron,Akron,Nick Goddard,nick-goddard-1,42,13
39,2008,akron,Akron,Jeremy Sallee,jeremy-sallee-1,6,9
24,2008,akron,Akron,Tim Carroll,tim-carroll-1,2,7
893,2008,alabama-am,Alabama A&M,Trant Simpson,trant-simpson-2,434,28
866,2008,alabama-am,Alabama A&M,Evan Hilton,evan-hilton-1,348,29
888,2008,alabama-am,Alabama A&M,Mickell Gladness,mickell-gladness-1,299,29
521,2008,alabama-am,Alabama A&M,Jonathon Belt,jonathon-belt-1,191,29
609,2008,alabama-am,Alabama A&M,Desmond Jackson,desmond-jackson-1,132,29
384,2008,alabama-am,Alabama A&M,Andrew Williams,andrew-williams-1,110,28
402,2008,alabama-am,Alabama A&M,LaNorris Smith,lanorris-smith-1,107,27
139,2008,alabama-am,Alabama A&M,Jonathan Inman,jonathan-inman-1,67,7
426,2008,alabama-am,Alabama A&M,Kudus Ogbara,kudus-ogbara-1,60,28
147,2008,alabama-am,Alabama A&M,John Smith,john-smith-1,44,21
139,2008,alabama-am,Alabama A&M,Reggie Porter,reggie-porter-1,40,20
118,2008,alabama-am,Alabama A&M,Jabari Deshields,jabari-deshields-1,33,15
55,2008,alabama-am,Alabama A&M,Cornelius Hester,cornelius-hester-1,17,3
132,2008,alabama-am,Alabama A&M,Isiah Cross,isiah-cross-1,16,14
109,2008,alabama-am,Alabama A&M,Norris Arnold,norris-arnold-1,12,17
1170,2008,alabama-birmingham,Alabama-Birmingham,Robert Vaden,robert-vaden-1,695,33
966,2008,alabama-birmingham,Alabama-Birmingham,Lawrence Kinnard,lawrence-kinnard-1,377,34
660,2008,alabama-birmingham,Alabama-Birmingham,Reggie Huffman,reggie-huffman-1,262,34
543,2008,alabama-birmingham,Alabama-Birmingham,Channing Toney,channing-toney-1,189,18
804,2008,alabama-birmingham,Alabama-Birmingham,Aaron Johnson,aaron-johnson-2,178,34
299,2008,alabama-birmingham,Alabama-Birmingham,Walter Sharpe,walter-sharpe-1,170,12
407,2008,alabama-birmingham,Alabama-Birmingham,Frank Holmes,frank-holmes-1,145,34
645,2008,alabama-birmingham,Alabama-Birmingham,Ed Berrios,ed-berrios-1,133,34
317,2008,alabama-birmingham,Alabama-Birmingham,Howard Crawford,howard-crawford-1,122,31
315,2008,alabama-birmingham,Alabama-Birmingham,Jeremy Mayfield,jeremy-mayfield-1,95,22
492,2008,alabama-birmingham,Alabama-Birmingham,Mike Davis,mike-davis-4,63,34
108,2008,alabama-birmingham,Alabama-Birmingham,Paul Delaney,paul-delaney-1,35,4
135,2008,alabama-birmingham,Alabama-Birmingham,Zisis Sarikopoulos,zisis-sarikopoulos-1,35,20
39,2008,alabama-birmingham,Alabama-Birmingham,Tyler Marsh,tyler-marsh-1,2,9
981,2008,alabama-state,Alabama State,Andrew Hayles,andrew-hayles-1,453,31
939,2008,alabama-state,Alabama State,Brandon Brooks,brandon-brooks-1,293,31
772,2008,alabama-state,Alabama State,Brandon Gordon,brandon-gordon-1,288,31
493,2008,alabama-state,Alabama State,Chief Kickingstallionsims,chief-kickingstallionsims-1,239,31
697,2008,alabama-state,Alabama State,Joel Bosh,joel-bosh-1,191,29
369,2008,alabama-state,Alabama State,Roland Fitch,roland-fitch-1,169,27
