player,player_id,season,url_school,school,rsci
Jaylen Franklin,jaylen-franklin-1,2016,abilene-christian,Abilene Christian,NA
Jaren Lewis,jaren-lewis-1,2016,abilene-christian,Abilene Christian,NA
Parker Wentz,parker-wentz-1,2016,abilene-christian,Abilene Christian,NA
Duran Porter,duran-porter-1,2016,abilene-christian,Abilene Christian,NA
Jovan Crnic,jovan-crnic-1,2016,abilene-christian,Abilene Christian,NA
Austin Cooke,austin-cooke-1,2016,abilene-christian,Abilene Christian,NA
Jalen Little,jalen-little-1,2016,abilene-christian,Abilene Christian,NA
Hayden Howell,hayden-howell-1,2016,abilene-christian,Abilene Christian,NA
Isaiah Tripp,isaiah-tripp-1,2016,abilene-christian,Abilene Christian,NA
Hayden Farquhar,hayden-farquhar-1,2016,abilene-christian,Abilene Christian,NA
Drake Green,drake-green-1,2016,abilene-christian,Abilene Christian,NA
Hayden Graham,hayden-graham-1,2016,air-force,Air Force,NA
Zach Kocur,zach-kocur-1,2016,air-force,Air Force,NA
Trevor Lyons,trevor-lyons-1,2016,air-force,Air Force,NA
Zach Moer,zach-moer-1,2016,air-force,Air Force,NA
C.J. Siples,cj-siples-1,2016,air-force,Air Force,NA
Jacob Van,jacob-van-1,2016,air-force,Air Force,NA
Frank Toohey,frank-toohey-1,2016,air-force,Air Force,NA
Kyle Broekhuis,kyle-broekhuis-1,2016,air-force,Air Force,NA
Dezmond James,dezmond-james-1,2016,air-force,Air Force,NA
Joe Tuss,joe-tuss-1,2016,air-force,Air Force,NA
Pervis Louder,pervis-louder-1,2016,air-force,Air Force,NA
Ryan Manning,ryan-manning-1,2016,air-force,Air Force,NA
Dane Norman,dane-norman-1,2016,air-force,Air Force,NA
Daniel Hummer,daniel-hummer-1,2016,air-force,Air Force,NA
Jace Chacon,jace-chacon-1,2016,air-force,Air Force,NA
Brendan Leonard,brendan-leonard-1,2016,air-force,Air Force,NA
Malik Abbott,malik-abbott-1,2016,air-force,Air Force,NA
Jason Anderson,jason-anderson-2,2016,air-force,Air Force,NA
Dylan Clark,dylan-clark-1,2016,air-force,Air Force,NA
David Cooper,david-cooper-2,2016,air-force,Air Force,NA
Isaiah Johnson,isaiah-johnson-1,2016,akron,Akron,NA
Antino Jackson,antino-jackson-1,2016,akron,Akron,NA
