mp,season,url_school,school,player,player_id,pts,g
762,2012,air-force,Air Force,Michael Lyons,michael-lyons-1,359,23
843,2012,air-force,Air Force,Mike Fitzgerald,mike-fitzgerald-1,302,29
864,2012,air-force,Air Force,Taylor Broekhuis,taylor-broekhuis-1,262,29
895,2012,air-force,Air Force,Todd Fletcher,todd-fletcher-1,234,29
407,2012,air-force,Air Force,Taylor Stewart,taylor-stewart-1,122,15
434,2012,air-force,Air Force,Kamryn Williams,kamryn-williams-1,118,29
334,2012,air-force,Air Force,Justin Hammonds,justin-hammonds-1,108,24
188,2012,air-force,Air Force,Kyle Green,kyle-green-1,61,16
230,2012,air-force,Air Force,Max Yon,max-yon-1,60,22
232,2012,air-force,Air Force,Chris Carter,chris-carter-4,36,24
140,2012,air-force,Air Force,DeLovell Earls,delovell-earls-1,33,21
64,2012,air-force,Air Force,Chase Kammerer,chase-kammerer-1,23,16
89,2012,air-force,Air Force,Colt Barnhill,colt-barnhill-1,19,17
222,2012,air-force,Air Force,Shawn Hempsey,shawn-hempsey-1,18,25
64,2012,air-force,Air Force,Marek Olesinski,marek-olesinski-1,18,10
77,2012,air-force,Air Force,Adam Brakeville,adam-brakeville-1,13,19
1,2012,air-force,Air Force,Brian Davidson,brian-davidson-1,0,1
4,2012,air-force,Air Force,Scott Stucky,scott-stucky-1,0,2
887,2012,akron,Akron,Zeke Marshall,zeke-marshall-1,352,34
879,2012,akron,Akron,Nikola Cvetinovic,nikola-cvetinovic-1,338,34
945,2012,akron,Akron,Alex Abreu,alex-abreu-1,297,31
868,2012,akron,Akron,Quincy Diggs,quincy-diggs-1,289,34
839,2012,akron,Akron,Brian Walsh,brian-walsh-1,281,34
445,2012,akron,Akron,Nick Harney,nick-harney-1,241,29
528,2012,akron,Akron,Demetrius Treadwell,demetrius-treadwell-1,230,32
580,2012,akron,Akron,Chauncey Gilliam,chauncey-gilliam-1,222,34
645,2012,akron,Akron,Brett McClanahan,brett-mcclanahan-1,150,34
91,2012,akron,Akron,Adedeji Ibitayo,adedeji-ibitayo-1,23,10
77,2012,akron,Akron,Josh Egner,josh-egner-1,16,10
30,2012,akron,Akron,C.J. Oldham,cj-oldham-1,11,9
14,2012,akron,Akron,Kyle Petersen,kyle-petersen-1,5,7
18,2012,akron,Akron,Michael Green,michael-green-3,1,4
4,2012,akron,Akron,Luke Avsec,luke-avsec-1,0,2
713,2012,alabama-am,Alabama A&M,Casey Cantey,casey-cantey-1,377,28
791,2012,alabama-am,Alabama A&M,Demarquelle Tabb,demarquelle-tabb-1,287,27
902,2012,alabama-am,Alabama A&M,Jeremy Crutcher,jeremy-crutcher-1,270,28
474,2012,alabama-am,Alabama A&M,Brandon Ellis,brandon-ellis-1,182,28
263,2012,alabama-am,Alabama A&M,Jeremy Ingram,jeremy-ingram-3,122,22
510,2012,alabama-am,Alabama A&M,Green Hill,green-hill-1,108,28
546,2012,alabama-am,Alabama A&M,Jerome Hunter,jerome-hunter-1,105,28
245,2012,alabama-am,Alabama A&M,Brandon Allen,brandon-allen-3,81,19
180,2012,alabama-am,Alabama A&M,Eddie Hardy,eddie-hardy-1,43,22
162,2012,alabama-am,Alabama A&M,Marcus Lee,marcus-lee-1,38,12
186,2012,alabama-am,Alabama A&M,Diamon Alexander,diamon-alexander-1,37,20
258,2012,alabama-am,Alabama A&M,Reginald Martin,reginald-martin-1,36,28
133,2012,alabama-am,Alabama A&M,Jose Long,jose-long-1,32,21
218,2012,alabama-am,Alabama A&M,Justin Banks,justin-banks-1,30,21
66,2012,alabama-am,Alabama A&M,Anthony Lanier,anthony-lanier-1,13,13
3,2012,alabama-am,Alabama A&M,Devin Colman,devin-colman-1,3,1
1111,2012,alabama-birmingham,Alabama-Birmingham,Cameron Moore,cameron-moore-1,498,31
874,2012,alabama-birmingham,Alabama-Birmingham,Jordan Swing,jordan-swing-1,313,28
801,2012,alabama-birmingham,Alabama-Birmingham,Preston Purifoy,preston-purifoy-1,267,31
847,2012,alabama-birmingham,Alabama-Birmingham,Ovie Soko,ovie-soko-1,249,30
956,2012,alabama-birmingham,Alabama-Birmingham,Quincy Taylor,quincy-taylor-1,186,29
378,2012,alabama-birmingham,Alabama-Birmingham,Jekore Tyler,jekore-tyler-1,134,31
715,2012,alabama-birmingham,Alabama-Birmingham,Robert Williams,robert-williams-2,115,31
330,2012,alabama-birmingham,Alabama-Birmingham,K.C. Whitaker,kc-whitaker-1,84,30
81,2012,alabama-birmingham,Alabama-Birmingham,Herb Harrison,herb-harrison-1,18,14
89,2012,alabama-birmingham,Alabama-Birmingham,Alexander Scotland-Williamson,alexander-scotland-williamson-1,7,22
43,2012,alabama-birmingham,Alabama-Birmingham,Beas Hamga,beas-hamga-1,4,11
782,2012,alabama-state,Alabama State,Tramaine Butler,tramaine-butler-1,338,28
998,2012,alabama-state,Alabama State,Ivory White,ivory-white-1,301,31
562,2012,alabama-state,Alabama State,Phillip Crawford,phillip-crawford-1,249,23
489,2012,alabama-state,Alabama State,Kenderek Washington,kenderek-washington-1,225,16
555,2012,alabama-state,Alabama State,Ryan Watts,ryan-watts-1,190,31
918,2012,alabama-state,Alabama State,Jeffery Middlebrooks,jeffery-middlebrooks-1,181,29
758,2012,alabama-state,Alabama State,Stephawn Brown,stephawn-brown-1,136,31
527,2012,alabama-state,Alabama State,Luther Page,luther-page-1,97,31
295,2012,alabama-state,Alabama State,Joshua Mason,joshua-mason-1,50,29
230,2012,alabama-state,Alabama State,Jonathan Jefferson,jonathan-jefferson-1,36,17
133,2012,alabama-state,Alabama State,Anthony Price,anthony-price-2,21,14
79,2012,alabama-state,Alabama State,Quintarius Hutchinson,quintarius-hutchinson-1,16,11
1001,2012,alabama,Alabama,Trevor Releford,trevor-releford-1,383,32
760,2012,alabama,Alabama,JaMychal Green,jamychal-green-1,363,26
684,2012,alabama,Alabama,Tony Mitchell,tony-mitchell-3,289,22
815,2012,alabama,Alabama,Trevor Lacey,trevor-lacey-1,240,33
894,2012,alabama,Alabama,Levi Randolph,levi-randolph-1,215,33
615,2012,alabama,Alabama,Nick Jacobs,nick-jacobs-1,196,32
526,2012,alabama,Alabama,Rodney Cooper,rodney-cooper-1,158,31
487,2012,alabama,Alabama,Andrew Steele,andrew-steele-1,125,19
338,2012,alabama,Alabama,Charles Hankerson,charles-hankerson-jr-1,109,30
208,2012,alabama,Alabama,Carl Engstrom,carl-engstrom-1,26,25
96,2012,alabama,Alabama,Moussa Gueye,moussa-gueye-1,18,12
207,2012,alabama,Alabama,Ben Eblen,ben-eblen-1,9,29
18,2012,alabama,Alabama,Keon Blackledge,keon-blackledge-1,4,4
1015,2012,albany-ny,Albany (NY),Gerardo Suero,gerardo-suero-1,689,32
1121,2012,albany-ny,Albany (NY),Mike Black,mike-black-1,457,34
941,2012,albany-ny,Albany (NY),Logan Aronhalt,logan-aronhalt-1,414,30
663,2012,albany-ny,Albany (NY),Jayson Guerrier,jayson-guerrier-1,224,34
653,2012,albany-ny,Albany (NY),Luke Devlin,luke-devlin-1,181,32
757,2012,albany-ny,Albany (NY),Blake Metcalf,blake-metcalf-1,150,34
337,2012,albany-ny,Albany (NY),Jacob Iati,jacob-iati-1,130,25
496,2012,albany-ny,Albany (NY),Ralph Watts,ralph-watts-1,76,30
472,2012,albany-ny,Albany (NY),John Puk,john-puk-1,68,31
224,2012,albany-ny,Albany (NY),Sam Rowley,sam-rowley-1,41,25
122,2012,albany-ny,Albany (NY),Tanner Gibson,tanner-gibson-1,19,24
24,2012,albany-ny,Albany (NY),Peter Hooley,peter-hooley-1,4,4
883,2012,alcorn-state,Alcorn State,Kendrick McDonald,kendrick-mcdonald-1,329,31
870,2012,alcorn-state,Alcorn State,Twann Oakley,twann-oakley-1,294,28
872,2012,alcorn-state,Alcorn State,Xavian Rimmer,xavian-rimmer-1,270,31
715,2012,alcorn-state,Alcorn State,Ian Francis,ian-francis-1,200,30
633,2012,alcorn-state,Alcorn State,KeDorian Sullivan,kedorian-sullivan-1,174,31
383,2012,alcorn-state,Alcorn State,Anthony Nieves,anthony-nieves-1,152,14
455,2012,alcorn-state,Alcorn State,JaMichael Hawkins,jamichael-hawkins-1,128,25
504,2012,alcorn-state,Alcorn State,Michael Starks,michael-starks-1,122,31
198,2012,alcorn-state,Alcorn State,Chris Brand,chris-brand-1,69,9
247,2012,alcorn-state,Alcorn State,Martrevious Sanders,martrevious-sanders-1,67,17
280,2012,alcorn-state,Alcorn State,Jarvis Moore,jarvis-moore-1,58,20
83,2012,alcorn-state,Alcorn State,Marquis Baker,marquis-baker-1,44,4
81,2012,alcorn-state,Alcorn State,Tyson Tufono,tyson-tufono-1,14,20
46,2012,alcorn-state,Alcorn State,Devon Francois,devon-francois-1,5,7
0,2012,alcorn-state,Alcorn State,Darien Johnson,darien-johnson-2,0,1
1098,2012,american,American,Charles Hinkle,charles-hinkle-2,590,32
879,2012,american,American,Troy Brewer,troy-brewer-1,332,28
1017,2012,american,American,Daniel Munoz,daniel-munoz-1,255,32
759,2012,american,American,Blake Jolivette,blake-jolivette-1,232,32
589,2012,american,American,Tony Wroblicky,tony-wroblicky-1,208,32
496,2012,american,American,Riley Grafft,riley-grafft-1,117,30
475,2012,american,American,Simon McCormack,simon-mccormack-1,114,32
530,2012,american,American,John Schoof,john-schoof-1,93,31
77,2012,american,American,Mike Bersch,mike-bersch-1,38,11
187,2012,american,American,Daniel Fisher,daniel-fisher-1,31,27
199,2012,american,American,Wayne Simon,wayne-simon-1,26,26
90,2012,american,American,Joe Hill,joe-hill-1,18,22
16,2012,american,American,Kyle Kager,kyle-kager-1,4,10
6,2012,american,American,Warren Flood,warren-flood-1,1,7
7,2012,american,American,Jordan Borucki,jordan-borucki-1,0,5
882,2012,appalachian-state,Appalachian State,Omar Carter,omar-carter-1,364,31
775,2012,appalachian-state,Appalachian State,Andre Williamson,andre-williamson-1,289,30
723,2012,appalachian-state,Appalachian State,Jamaal Trice,jamaal-trice-1,274,30
724,2012,appalachian-state,Appalachian State,Michael Neal,michael-neal-3,249,30
670,2012,appalachian-state,Appalachian State,Tab Hamilton,tabarris-hamilton-1,232,29
590,2012,appalachian-state,Appalachian State,Isaac Butts,isaac-butts-1,214,28
551,2012,appalachian-state,Appalachian State,Nathan Healy,nathan-healy-1,185,30
450,2012,appalachian-state,Appalachian State,G.J. Vilarino,gj-vilarino-1,106,28
235,2012,appalachian-state,Appalachian State,Rodney Milium,rodney-milium-1,104,11
415,2012,appalachian-state,Appalachian State,Mitch Woods,mitch-woods-1,64,30
123,2012,appalachian-state,Appalachian State,Petey Hausley,petey-hausley-1,36,15
87,2012,appalachian-state,Appalachian State,Brian Okam,brian-okam-1,4,15
873,2012,arizona-state,Arizona State,Trent Lockett,trent-lockett-1,326,25
955,2012,arizona-state,Arizona State,Carrick Felix,carrick-felix-1,305,29
680,2012,arizona-state,Arizona State,Kyle Cain,kyle-cain-1,218,29
728,2012,arizona-state,Arizona State,Jonathan Gilling,jonathan-gilling-1,212,30
709,2012,arizona-state,Arizona State,Chris Colvin,chris-colvin-1,190,27
522,2012,arizona-state,Arizona State,Jordan Bachynski,jordan-bachynski-1,179,30
424,2012,arizona-state,Arizona State,Keala King,keala-king-1,178,13
724,2012,arizona-state,Arizona State,Chanse Creekmur,chanse-creekmur-1,142,30
483,2012,arizona-state,Arizona State,Ruslan Pateev,ruslan-pateev-1,132,29
17,2012,arizona-state,Arizona State,David Whitmore,david-whitmore-1,4,7
10,2012,arizona-state,Arizona State,Pierre Newton,pierre-newton-1,3,5
75,2012,arizona-state,Arizona State,Max Heller,max-heller-1,2,15
1124,2012,arizona,Arizona,Kyle Fogg,kyle-fogg-1,472,35
1134,2012,arizona,Arizona,Solomon Hill,solomon-hill-1,452,35
1065,2012,arizona,Arizona,Jesse Perry,jesse-perry-1,428,35
983,2012,arizona,Arizona,Nick Johnson,nick-johnson-1,312,35
721,2012,arizona,Arizona,Josiah Turner,josiah-turner-1,197,29
564,2012,arizona,Arizona,Brendon Lavender,brendon-lavender-1,191,35
512,2012,arizona,Arizona,Jordin Mayes,jordin-mayes-1,136,29
427,2012,arizona,Arizona,Angelo Chol,angelo-chol-1,99,35
311,2012,arizona,Arizona,Kevin Parrom,kevin-parrom-1,98,20
160,2012,arizona,Arizona,Kyryl Natyazhko,kyryl-natyazhko-1,24,22
7,2012,arizona,Arizona,Max Wiepking,max-wiepking-1,4,4
