mp,season,url_school,school,player,player_id,pts,g
883,2016,abilene-christian,Abilene Christian,Jaylen Franklin,jaylen-franklin-1,486,30
673,2016,abilene-christian,Abilene Christian,Jaren Lewis,jaren-lewis-1,292,31
918,2016,abilene-christian,Abilene Christian,Parker Wentz,parker-wentz-1,269,31
615,2016,abilene-christian,Abilene Christian,Duran Porter,duran-porter-1,255,31
640,2016,abilene-christian,Abilene Christian,Jovan Crnic,jovan-crnic-1,219,31
575,2016,abilene-christian,Abilene Christian,Austin Cooke,austin-cooke-1,197,30
737,2016,abilene-christian,Abilene Christian,Jalen Little,jalen-little-1,159,26
354,2016,abilene-christian,Abilene Christian,Hayden Howell,hayden-howell-1,119,31
312,2016,abilene-christian,Abilene Christian,Isaiah Tripp,isaiah-tripp-1,85,29
250,2016,abilene-christian,Abilene Christian,Hayden Farquhar,hayden-farquhar-1,76,30
293,2016,abilene-christian,Abilene Christian,Drake Green,drake-green-1,52,29
1112,2016,air-force,Air Force,Hayden Graham,hayden-graham-1,428,31
967,2016,air-force,Air Force,Zach Kocur,zach-kocur-1,306,32
707,2016,air-force,Air Force,Trevor Lyons,trevor-lyons-1,279,22
575,2016,air-force,Air Force,Zach Moer,zach-moer-1,250,29
708,2016,air-force,Air Force,C.J. Siples,cj-siples-1,207,32
395,2016,air-force,Air Force,Jacob Van,jacob-van-1,167,28
366,2016,air-force,Air Force,Frank Toohey,frank-toohey-1,144,26
501,2016,air-force,Air Force,Kyle Broekhuis,kyle-broekhuis-1,103,31
396,2016,air-force,Air Force,Dezmond James,dezmond-james-1,86,32
348,2016,air-force,Air Force,Joe Tuss,joe-tuss-1,81,30
210,2016,air-force,Air Force,Pervis Louder,pervis-louder-1,73,18
104,2016,air-force,Air Force,Ryan Manning,ryan-manning-1,31,5
45,2016,air-force,Air Force,Dane Norman,dane-norman-1,16,15
38,2016,air-force,Air Force,Daniel Hummer,daniel-hummer-1,8,10
11,2016,air-force,Air Force,Jace Chacon,jace-chacon-1,7,4
9,2016,air-force,Air Force,Brendan Leonard,brendan-leonard-1,3,3
7,2016,air-force,Air Force,Malik Abbott,malik-abbott-1,0,4
1,2016,air-force,Air Force,Jason Anderson,jason-anderson-2,0,2
1,2016,air-force,Air Force,Dylan Clark,dylan-clark-1,0,1
0,2016,air-force,Air Force,David Cooper,david-cooper-2,0,1
889,2016,akron,Akron,Isaiah Johnson,isaiah-johnson-1,477,35
976,2016,akron,Akron,Antino Jackson,antino-jackson-1,412,35
926,2016,akron,Akron,Reggie McAdams,reggie-mcadams-1,400,35
849,2016,akron,Akron,Jake Kretzer,jake-kretzer-1,281,34
922,2016,akron,Akron,Noah Robotham,noah-robotham-1,280,29
787,2016,akron,Akron,Kwan Cheatham,kwan-cheatham-1,252,35
643,2016,akron,Akron,Josh Williams,josh-williams-5,226,34
433,2016,akron,Akron,Pat Forsythe,pat-forsythe-1,190,22
285,2016,akron,Akron,Aaron Jackson,aaron-jackson-2,84,29
274,2016,akron,Akron,Jimond Ivey,jimond-ivey-1,82,32
13,2016,akron,Akron,Carlitos Anderson,carlitos-anderson-1,3,5
14,2016,akron,Akron,Mark Noble,mark-noble-1,2,5
10,2016,akron,Akron,Peter Agba,peter-agba-1,0,1
4,2016,akron,Akron,Daniel Utomi,daniel-utomi-1,0,2
1000,2016,alabama-am,Alabama A&M,Ladarius Tabb,ladarius-tabb-1,549,29
878,2016,alabama-am,Alabama A&M,Nicholas West,nicholas-west-1,405,29
756,2016,alabama-am,Alabama A&M,Rakiya Battle,rakiya-battle-1,183,29
431,2016,alabama-am,Alabama A&M,Jacob Perry,jacob-perry-1,171,27
480,2016,alabama-am,Alabama A&M,Christopher Thomas,christopher-thomas-2,126,28
325,2016,alabama-am,Alabama A&M,Quinterian McConico,quinterian-mcconico-1,124,18
625,2016,alabama-am,Alabama A&M,Arthur Wade,arthur-wade-1,114,29
248,2016,alabama-am,Alabama A&M,Rashawn Green,rashawn-green-1,85,19
362,2016,alabama-am,Alabama A&M,Adrian Edwards,adrian-edwards-1,75,29
275,2016,alabama-am,Alabama A&M,Tyler Davis,tyler-davis-3,47,21
186,2016,alabama-am,Alabama A&M,Matthew Cotton,matthew-cotton-1,44,26
158,2016,alabama-am,Alabama A&M,Zachary Jackson,zachary-jackson-1,33,22
78,2016,alabama-am,Alabama A&M,Baryn Houston,baryn-houston-1,11,14
72,2016,alabama-am,Alabama A&M,Mohamed Sherif,mohamed-sherif-1,9,13
0,2016,alabama-am,Alabama A&M,Cezanne Carson,cezanne-carson-1,0,1
1,2016,alabama-am,Alabama A&M,Justin Colvin,justin-colvin-1,0,1
0,2016,alabama-am,Alabama A&M,Brontae Harris,brontae-harris-1,0,1
0,2016,alabama-am,Alabama A&M,Jesse Johnson,jesse-johnson-1,0,1
0,2016,alabama-am,Alabama A&M,Marcus Merriweather,marcus-merriweather-1,0,1
999,2016,alabama-birmingham,Alabama-Birmingham,Robert Brown,robert-brown-4,461,33
728,2016,alabama-birmingham,Alabama-Birmingham,Chris Cokley,chris-cokley-1,433,33
818,2016,alabama-birmingham,Alabama-Birmingham,William Lee,william-lee-1,350,33
625,2016,alabama-birmingham,Alabama-Birmingham,Dirk Williams,dirk-williams-2,308,33
878,2016,alabama-birmingham,Alabama-Birmingham,Nick Norton,nick-norton-1,286,32
803,2016,alabama-birmingham,Alabama-Birmingham,Hakeem Baxter,hakeem-baxter-1,195,33
649,2016,alabama-birmingham,Alabama-Birmingham,Tosin Mehinti,tosin-mehinti-1,184,32
409,2016,alabama-birmingham,Alabama-Birmingham,Lewis Sullivan,lewis-sullivan-1,158,33
497,2016,alabama-birmingham,Alabama-Birmingham,Denzell Watts,denzell-watts-1,133,33
225,2016,alabama-birmingham,Alabama-Birmingham,Tyler Madison,tyler-madison-1,54,32
47,2016,alabama-birmingham,Alabama-Birmingham,Thomas Smallwood,thomas-smallwood-1,39,10
22,2016,alabama-birmingham,Alabama-Birmingham,Lionel Love,lionel-love-1,5,10
1057,2016,alabama-state,Alabama State,Jamel Waters,jamel-waters-1,494,31
693,2016,alabama-state,Alabama State,Corvon Butler,corvon-butler-1,299,31
792,2016,alabama-state,Alabama State,Bobby Brown,bobby-brown-2,273,31
561,2016,alabama-state,Alabama State,Tony Armstrong,tony-armstrong-1,253,21
838,2016,alabama-state,Alabama State,Torloft Thomas,torlorf-thomas-1,249,31
749,2016,alabama-state,Alabama State,Steve Rogers,steve-rogers-1,203,31
597,2016,alabama-state,Alabama State,Terrance LeFlore,terrance-leflore-1,201,31
258,2016,alabama-state,Alabama State,Mikel Tyson,mikel-tyson-1,87,25
305,2016,alabama-state,Alabama State,Chidozie Omile,chidozie-omile-1,74,25
297,2016,alabama-state,Alabama State,Glenn Hollaway,glenn-hollaway-1,55,25
81,2016,alabama-state,Alabama State,Robert Ojeah,robert-ojeah-1,15,13
57,2016,alabama-state,Alabama State,Nicholas Barnes,nicholas-barnes-1,12,8
9,2016,alabama-state,Alabama State,Joseff Smith,joseff-smith-1,2,8
0,2016,alabama-state,Alabama State,Branden Johnson,branden-johnson-2,0,1
7,2016,alabama-state,Alabama State,Davante Pope,davante-pope-1,0,5
1067,2016,alabama,Alabama,Retin Obasohan,retin-obasohan-1,580,33
945,2016,alabama,Alabama,Arthur Edwards,arthur-edwards-1,312,33
688,2016,alabama,Alabama,Shannon Hale,shannon-hale-1,301,28
866,2016,alabama,Alabama,Justin Coleman,justin-coleman-2,259,33
930,2016,alabama,Alabama,Riley Norris,riley-norris-1,246,33
694,2016,alabama,Alabama,Jimmie Taylor,jimmie-taylor-1,172,33
547,2016,alabama,Alabama,Michael Kessens,michael-kessens-1,122,33
421,2016,alabama,Alabama,Donta Hall,donta-hall-1,93,33
179,2016,alabama,Alabama,Dazon Ingram,dazon-ingram-1,54,7
268,2016,alabama,Alabama,Brandon Austin,brandon-austin-1,46,30
32,2016,alabama,Alabama,Lawson Schaffer,lawson-schaffer-1,8,15
13,2016,alabama,Alabama,Christian Clark,christian-clark-1,0,9
1098,2016,albany-ny,Albany (NY),Evan Singletary,evan-singletary-1,427,33
1085,2016,albany-ny,Albany (NY),Peter Hooley,peter-hooley-1,411,33
907,2016,albany-ny,Albany (NY),Ray Sanders,ray-sanders-1,399,33
684,2016,albany-ny,Albany (NY),Joe Cremo,joe-cremo-1,345,33
953,2016,albany-ny,Albany (NY),Mike Rowley,michael-rowley-1,274,33
742,2016,albany-ny,Albany (NY),Greig Stire,greig-stire-1,242,32
466,2016,albany-ny,Albany (NY),Dallas Ennema,dallas-ennema-1,142,32
378,2016,albany-ny,Albany (NY),Richard Peters,richard-peters-1,93,31
160,2016,albany-ny,Albany (NY),Jamir Andrews,jamir-andrews-1,71,23
127,2016,albany-ny,Albany (NY),Travis Charles,travis-charles-1,51,9
76,2016,albany-ny,Albany (NY),David Nichols,david-nichols-1,40,15
903,2016,alcorn-state,Alcorn State,Tamarcio Wilson,tamarcio-wilson-1,354,29
651,2016,alcorn-state,Alcorn State,Octavius Brown,octavius-brown-1,273,21
892,2016,alcorn-state,Alcorn State,Marquis Vance,marquis-vance-1,238,30
727,2016,alcorn-state,Alcorn State,Patrick Onwenu,patrick-onwenu-1,234,29
800,2016,alcorn-state,Alcorn State,Devonte Hampton,devonte-hampton-1,233,27
553,2016,alcorn-state,Alcorn State,Deandre Davis,deandre-davis-2,222,30
516,2016,alcorn-state,Alcorn State,Reginald Johnson,reginald-johnson-1,205,30
425,2016,alcorn-state,Alcorn State,Tyrel Hunt,tyrel-hunt-1,105,29
258,2016,alcorn-state,Alcorn State,Rahamanh Katumbusi II,rahamanh-katumbusiii-1,67,27
234,2016,alcorn-state,Alcorn State,Malachy Onwudiegwu,malachy-onwudiegwu-1,43,25
104,2016,alcorn-state,Alcorn State,Shawn Willett,shawn-willett-1,19,18
40,2016,alcorn-state,Alcorn State,TyQuayion Smith,tyquayion-smith-1,11,13
49,2016,alcorn-state,Alcorn State,Juwan Henderson,juwan-henderson-1,9,5
0,2016,alcorn-state,Alcorn State,Keynan Pittman,keynan-pittman-1,0,3
1173,2016,american,American,Jesse Reed,jesse-reed-1,401,31
997,2016,american,American,Delante Jones,delante-jones-1,361,30
463,2016,american,American,Paris Maragkos,paris-maragkos-1,219,31
784,2016,american,American,James Washington,james-washington-2,198,31
673,2016,american,American,Charlie Jones,charlie-jones-2,147,31
787,2016,american,American,Marko Vasic,marko-vasic-1,128,31
438,2016,american,American,Andrija Matic,andrija-matic-1,116,30
366,2016,american,American,Jalen Rhea,jalen-rhea-1,94,22
227,2016,american,American,Lonnie Rivera,lonnie-rivera-1,47,22
221,2016,american,American,Leon Tolksdorf,leon-tolksdorf-1,43,22
107,2016,american,American,Alex Paquin,alex-paquin-1,25,14
17,2016,american,American,Gabe Brown,gabe-brown-1,6,3
0,2016,american,American,Kevin Brown,kevin-brown-1,0,1
965,2016,appalachian-state,Appalachian State,Frank Eaves,frank-eaves-1,579,31
786,2016,appalachian-state,Appalachian State,Ronshad Shabazz,ronshad-shabazz-1,370,31
653,2016,appalachian-state,Appalachian State,Chris Burgess,chris-burgess-3,215,31
581,2016,appalachian-state,Appalachian State,Griffin Kinney,griffin-kinney-1,194,31
578,2016,appalachian-state,Appalachian State,Emarius Logan,emarius-logan-1,177,31
479,2016,appalachian-state,Appalachian State,Jacob Lawson,jacob-lawson-1,164,31
520,2016,appalachian-state,Appalachian State,Tyrell Johnson,tyrell-johnson-1,120,30
508,2016,appalachian-state,Appalachian State,Michael Obacha,michael-obacha-1,100,30
