player,player_id,season,url_school,school,rsci
Jalone Friday,jalone-friday-1,2018,abilene-christian,Abilene Christian,NA
Jaren Lewis,jaren-lewis-1,2018,abilene-christian,Abilene Christian,NA
Tevin Foster,tevin-foster-1,2018,abilene-christian,Abilene Christian,NA
Jaylen Franklin,jaylen-franklin-1,2018,abilene-christian,Abilene Christian,NA
Payten Ricks,payten-ricks-1,2018,abilene-christian,Abilene Christian,NA
Drake Green,drake-green-1,2018,abilene-christian,Abilene Christian,NA
Hayden Howell,hayden-howell-1,2018,abilene-christian,Abilene Christian,NA
Hayden Farquhar,hayden-farquhar-1,2018,abilene-christian,Abilene Christian,NA
B.J. Maxwell,bj-maxwell-1,2018,abilene-christian,Abilene Christian,NA
Isaiah Tripp,isaiah-tripp-1,2018,abilene-christian,Abilene Christian,NA
Kolton Kohl,kolton-kohl-1,2018,abilene-christian,Abilene Christian,NA
Trey Lenox,trey-lenox-1,2018,abilene-christian,Abilene Christian,NA
Paul Hiepler,paul-hiepler-1,2018,abilene-christian,Abilene Christian,NA
Chase Cobb,chase-cobb-1,2018,abilene-christian,Abilene Christian,NA
Lavelle Scottie,lavelle-scottie-1,2018,air-force,Air Force,NA
Trevor Lyons,trevor-lyons-1,2018,air-force,Air Force,NA
Ryan Swan-Ford,ryan-swan-ford-1,2018,air-force,Air Force,NA
Ryan Manning,ryan-manning-1,2018,air-force,Air Force,NA
Jacob Van,jacob-van-1,2018,air-force,Air Force,NA
Frank Toohey,frank-toohey-1,2018,air-force,Air Force,NA
Sid Tomes,sid-tomes-1,2018,air-force,Air Force,NA
Caleb Morris,caleb-morris-1,2018,air-force,Air Force,NA
Pervis Louder,pervis-louder-1,2018,air-force,Air Force,NA
Keaton Van Soelen,keaton-vansoelen-1,2018,air-force,Air Force,NA
C.J. Siples,cj-siples-1,2018,air-force,Air Force,NA
Jonathan DeWane,jonathan-dewane-1,2018,air-force,Air Force,NA
Dane Norman,dane-norman-1,2018,air-force,Air Force,NA
LeSean Brown,lesean-brown-1,2018,air-force,Air Force,NA
Christopher Joyce,christopher-joyce-1,2018,air-force,Air Force,NA
Ameka Akaya,ameka-akaya-1,2018,air-force,Air Force,NA
Charles O'Briant,charles-obriant-1,2018,air-force,Air Force,NA
James Edwards,james-edwards-4,2018,air-force,Air Force,NA
Bryce Hughes,bryce-hughes-1,2018,air-force,Air Force,NA
Kobi Betts,kobi-betts-1,2018,air-force,Air Force,NA
Daniel Utomi,daniel-utomi-1,2018,akron,Akron,NA
Malcolm Duvivier,malcolm-duvivier-1,2018,akron,Akron,NA
Jimond Ivey,jimond-ivey-1,2018,akron,Akron,NA
Eric Parrish,eric-parrish-1,2018,akron,Akron,NA
Virshon Cotton,virshon-cotton-1,2018,akron,Akron,NA
Torrey Patton,torrey-patton-1,2018,akron,Akron,NA
Emmanuel Olojakpoke,emmanuel-olojakpoke-1,2018,akron,Akron,NA
Jaden Sayles,jaden-sayles-1,2018,akron,Akron,NA
Mark Kostelac,mark-kostelac-1,2018,akron,Akron,NA
Lucas Smith,lucas-smith-1,2018,akron,Akron,NA
Sina Gbadebo,sina-gbadebo-1,2018,akron,Akron,NA
Craig Eubanks,craig-eubanks-1,2018,akron,Akron,NA
Marquelle McIntyre,marquelle-mcintyre-1,2018,akron,Akron,NA
Arthur Johnson,arthur-johnson-3,2018,alabama-am,Alabama A&M,NA
Andre Kennedy,andre-kennedy-1,2018,alabama-am,Alabama A&M,NA
De'Edrick Petty,deedrick-petty-1,2018,alabama-am,Alabama A&M,NA
Evan Wiley,evan-wiley-2,2018,alabama-am,Alabama A&M,NA
Marcus Merriweather,marcus-merriweather-1,2018,alabama-am,Alabama A&M,NA
Julian Walters,julian-walters-1,2018,alabama-am,Alabama A&M,NA
Mohamed Sherif,mohamed-sherif-1,2018,alabama-am,Alabama A&M,NA
Jalen Reeder,jalen-reeder-1,2018,alabama-am,Alabama A&M,NA
Tracy Burnett,tracy-burnett-1,2018,alabama-am,Alabama A&M,NA
