player,player_id,season,url_school,school,rsci
Andrew Henke,andrew-henke-1,2009,air-force,Air Force,NA
Anwar Johnson,anwar-johnson-1,2009,air-force,Air Force,NA
Matt Holland,matt-holland-1,2009,air-force,Air Force,NA
Evan Washington,evan-washington-1,2009,air-force,Air Force,NA
Grant Parker,grant-parker-1,2009,air-force,Air Force,NA
Taylor Stewart,taylor-stewart-1,2009,air-force,Air Force,NA
Sammy Schafer,sammy-schafer-1,2009,air-force,Air Force,NA
Trevor Noonan,trevor-noonan-1,2009,air-force,Air Force,NA
Avery Merriex,avery-merriex-1,2009,air-force,Air Force,NA
Mike McLain,mike-mclain-1,2009,air-force,Air Force,NA
Shawn Hempsey,shawn-hempsey-1,2009,air-force,Air Force,NA
Jon Atkins,jon-atkins-1,2009,air-force,Air Force,NA
Derek Brooks,derek-brooks-1,2009,air-force,Air Force,NA
Phillip Brown,phillip-brown-1,2009,air-force,Air Force,NA
Brandon Provost,brandon-provost-1,2009,air-force,Air Force,NA
Saj El-Amin,saj-el-amin-1,2009,air-force,Air Force,NA
Tom Fow,tom-fow-1,2009,air-force,Air Force,NA
Brett Mcknight,brett-mcknight-1,2009,akron,Akron,NA
Nate Linhart,nate-linhart-1,2009,akron,Akron,NA
Chris McKnight,chris-mcknight-1,2009,akron,Akron,NA
Humpty Hitchens,humpty-hitchens-1,2009,akron,Akron,NA
Darryl Roberts,darryl-roberts-1,2009,akron,Akron,NA
Steve McNees,steve-mcnees-1,2009,akron,Akron,NA
Nikola Cvetinovic,nikola-cvetinovic-1,2009,akron,Akron,NA
Jimmy Conyers,jimmy-conyers-1,2009,akron,Akron,NA
Brett McClanahan,brett-mcclanahan-1,2009,akron,Akron,NA
Mike Bardo,mike-bardo-1,2009,akron,Akron,NA
Eric Coblentz,eric-coblentz-1,2009,akron,Akron,NA
Ronnie Steward,ronnie-steward-1,2009,akron,Akron,NA
Steve Swiech,steve-swiech-1,2009,akron,Akron,NA
Tim Carroll,tim-carroll-1,2009,akron,Akron,NA
Trant Simpson,trant-simpson-2,2009,alabama-am,Alabama A&M,NA
Cornelius Hester,cornelius-hester-1,2009,alabama-am,Alabama A&M,NA
Casey Cantey,casey-cantey-1,2009,alabama-am,Alabama A&M,NA
Jonathan Inman,jonathan-inman-1,2009,alabama-am,Alabama A&M,NA
John Smith,john-smith-1,2009,alabama-am,Alabama A&M,NA
Desmond Jackson,desmond-jackson-1,2009,alabama-am,Alabama A&M,NA
Jonathon Belt,jonathon-belt-1,2009,alabama-am,Alabama A&M,NA
Kudus Ogbara,kudus-ogbara-1,2009,alabama-am,Alabama A&M,NA
Royce Hamilton,royce-hamilton-1,2009,alabama-am,Alabama A&M,NA
Reggie Porter,reggie-porter-1,2009,alabama-am,Alabama A&M,NA
Shane Burrell,shane-burrell-1,2009,alabama-am,Alabama A&M,NA
Jabari Deshields,jabari-deshields-1,2009,alabama-am,Alabama A&M,NA
Marcus Lee,marcus-lee-1,2009,alabama-am,Alabama A&M,NA
Robert Vaden,robert-vaden-1,2009,alabama-birmingham,Alabama-Birmingham,30 (2004)
Paul Delaney,paul-delaney-1,2009,alabama-birmingham,Alabama-Birmingham,
Lawrence Kinnard,lawrence-kinnard-1,2009,alabama-birmingham,Alabama-Birmingham,
Channing Toney,channing-toney-1,2009,alabama-birmingham,Alabama-Birmingham,100 (2004)
Howard Crawford,howard-crawford-1,2009,alabama-birmingham,Alabama-Birmingham,
Aaron Johnson,aaron-johnson-2,2009,alabama-birmingham,Alabama-Birmingham,
Cameron Moore,cameron-moore-1,2009,alabama-birmingham,Alabama-Birmingham,
Terrence Roderick,terrence-roderick-1,2009,alabama-birmingham,Alabama-Birmingham,
Mike Davis,mike-davis-4,2009,alabama-birmingham,Alabama-Birmingham,
Mike Jones,mike-jones-5,2009,alabama-birmingham,Alabama-Birmingham,
Ed Berrios,ed-berrios-1,2009,alabama-birmingham,Alabama-Birmingham,
Brandon Brooks,brandon-brooks-1,2009,alabama-state,Alabama State,NA
Andrew Hayles,andrew-hayles-1,2009,alabama-state,Alabama State,NA
Roland Fitch,roland-fitch-1,2009,alabama-state,Alabama State,NA
Chief Kickingstallionsims,chief-kickingstallionsims-1,2009,alabama-state,Alabama State,NA
Wesley Jones,wesley-jones-1,2009,alabama-state,Alabama State,NA
Tramaine Butler,tramaine-butler-1,2009,alabama-state,Alabama State,NA
Ivory White,ivory-white-1,2009,alabama-state,Alabama State,NA
Rashad Provitt,rashad-provitt-1,2009,alabama-state,Alabama State,NA
Menji Mundadi,menji-mundadi-1,2009,alabama-state,Alabama State,NA
Byron Walker,byron-walker-1,2009,alabama-state,Alabama State,NA
Jerry Stangline,jerry-stangline-1,2009,alabama-state,Alabama State,NA
Jeffery Middlebrooks,jeffery-middlebrooks-1,2009,alabama-state,Alabama State,NA
Alexander Tolbert,alexander-tolbert-1,2009,alabama-state,Alabama State,NA
Jevon Freeman,jevon-freeman-1,2009,alabama-state,Alabama State,NA
Shedrick Mattews,shedrick-mattews-1,2009,alabama-state,Alabama State,NA
Tramayne Moorer,tramayne-moorer-1,2009,alabama-state,Alabama State,NA
Alonzo Gee,alonzo-gee-1,2009,alabama,Alabama,52 (2005)
Senario Hillman,senario-hillman-1,2009,alabama,Alabama,44 (2007)
JaMychal Green,jamychal-green-1,2009,alabama,Alabama,17 (2008)
Mikhail Torrance,mikhail-torrance-1,2009,alabama,Alabama,
Ronald Steele,ronald-steele-1,2009,alabama,Alabama,38 (2004)
Justin Knox,justin-knox-1,2009,alabama,Alabama,
Yamene Coleman,yamene-coleman-2,2009,alabama,Alabama,
Anthony Brock,anthony-brock-1,2009,alabama,Alabama,
Andrew Steele,andrew-steele-1,2009,alabama,Alabama,
Demetrius Jemison,demetrius-jemison-1,2009,alabama,Alabama,
Brandon Hollinger,brandon-hollinger-1,2009,alabama,Alabama,
Greg Cage,greg-cage-1,2009,alabama,Alabama,
Tim Ambrose,tim-ambrose-1,2009,albany-ny,Albany (NY),NA
Will Harris,will-harris-1,2009,albany-ny,Albany (NY),NA
Anthony Raffa,anthony-raffa-1,2009,albany-ny,Albany (NY),NA
Brian Connelly,brian-connelly-1,2009,albany-ny,Albany (NY),NA
Jerel Hastings,jerel-hastings-1,2009,albany-ny,Albany (NY),NA
Mike Johnson,mike-johnson-2,2009,albany-ny,Albany (NY),NA
Scotty McRae,scotty-mcrae-1,2009,albany-ny,Albany (NY),NA
Louis Barraza,louis-barraza-1,2009,albany-ny,Albany (NY),NA
Brett Gifford,brett-gifford-1,2009,albany-ny,Albany (NY),NA
Billy Allen,billy-allen-1,2009,albany-ny,Albany (NY),NA
Jimmie Covington,jimmie-covington-1,2009,albany-ny,Albany (NY),NA
Logan Aronhalt,logan-aronhalt-1,2009,albany-ny,Albany (NY),NA
Troy Jackson,troy-jackson-1,2009,alcorn-state,Alcorn State,NA
Jarvis Williams,jarvis-williams-1,2009,alcorn-state,Alcorn State,NA
Jonathan Boyd,jonathan-boyd-1,2009,alcorn-state,Alcorn State,NA
Anthony Ford,anthony-ford-1,2009,alcorn-state,Alcorn State,NA
JaMarkus Holt,jamarkus-holt-1,2009,alcorn-state,Alcorn State,NA
Jumane Reed,jumane-reed-1,2009,alcorn-state,Alcorn State,NA
Gifford Blakely,gifford-blakely-1,2009,alcorn-state,Alcorn State,NA
Brandon Rogers,brandon-rogers-1,2009,alcorn-state,Alcorn State,NA
Antonio Jones,antonio-jones-2,2009,alcorn-state,Alcorn State,NA
Alex Savannah,alex-savannah-1,2009,alcorn-state,Alcorn State,NA
Lawrence Cage,lawrence-cage-1,2009,alcorn-state,Alcorn State,NA
Corey Anthony,corey-anthony-1,2009,alcorn-state,Alcorn State,NA
Derrick Blackwell,derrick-blackwell-1,2009,alcorn-state,Alcorn State,NA
Darius Hobson,darius-hobson-1,2009,alcorn-state,Alcorn State,NA
Eric Blackwell,eric-blackwell-1,2009,alcorn-state,Alcorn State,NA
Garrison Carr,garrison-carr-1,2009,american,American,NA
Brian Gilmore,brian-gilmore-1,2009,american,American,NA
Derrick Mercer,derrick-mercer-1,2009,american,American,NA
Nick Hendra,nick-hendra-1,2009,american,American,NA
Jordan Nichols,jordan-nichols-1,2009,american,American,NA
Frank Borden,frank-borden-1,2009,american,American,NA
Stephen Lumpkins,stephen-lumpkins-1,2009,american,American,NA
Bryce Simon,bryce-simon-1,2009,american,American,NA
Frane Markusovic,frane-markusovic-1,2009,american,American,NA
Steve Luptak,steve-luptak-1,2009,american,American,NA
Matthew Wilson,matthew-wilson-1,2009,american,American,NA
Simon McCormack,simon-mccormack-1,2009,american,American,NA
Joe Hill,joe-hill-1,2009,american,American,NA
Riley Grafft,riley-grafft-1,2009,american,American,NA
Mike Technow,mike-technow-1,2009,american,American,NA
Kellen Brand,kellen-brand-1,2009,appalachian-state,Appalachian State,NA
Donald Sims,donald-sims-1,2009,appalachian-state,Appalachian State,NA
Josh Hunter,josh-hunter-1,2009,appalachian-state,Appalachian State,NA
Isaac Butts,isaac-butts-1,2009,appalachian-state,Appalachian State,NA
Ryann Abraham,ryann-abraham-1,2009,appalachian-state,Appalachian State,NA
Eduardo Bermudez,eduardo-bermudez-1,2009,appalachian-state,Appalachian State,NA
Donterious Hughes,donterious-hughes-1,2009,appalachian-state,Appalachian State,NA
Jeremi Booth,jeremi-booth-1,2009,appalachian-state,Appalachian State,NA
Marcus Wright,marcus-wright-1,2009,appalachian-state,Appalachian State,NA
