player,player_id,season,url_school,school,rsci
Jaren Lewis,jaren-lewis-1,2019,abilene-christian,Abilene Christian,NA
Payten Ricks,payten-ricks-1,2019,abilene-christian,Abilene Christian,NA
Jaylen Franklin,jaylen-franklin-1,2019,abilene-christian,Abilene Christian,NA
Jalone Friday,jalone-friday-1,2019,abilene-christian,Abilene Christian,NA
Hayden Farquhar,hayden-farquhar-1,2019,abilene-christian,Abilene Christian,NA
B.J. Maxwell,bj-maxwell-1,2019,abilene-christian,Abilene Christian,NA
Joe Pleasant,joe-pleasant-1,2019,abilene-christian,Abilene Christian,NA
Damien Daniels,damien-daniels-1,2019,abilene-christian,Abilene Christian,NA
Trey Lenox,trey-lenox-1,2019,abilene-christian,Abilene Christian,NA
Clay Gayman,clay-gayman-1,2019,abilene-christian,Abilene Christian,NA
Kolton Kohl,kolton-kohl-1,2019,abilene-christian,Abilene Christian,NA
Tobias Cameron,tobias-cameron-1,2019,abilene-christian,Abilene Christian,NA
Chase Cobb,chase-cobb-1,2019,abilene-christian,Abilene Christian,NA
Paul Hiepler,paul-hiepler-1,2019,abilene-christian,Abilene Christian,NA
Lavelle Scottie,lavelle-scottie-1,2019,air-force,Air Force,NA
Ryan Swan-Ford,ryan-swan-ford-1,2019,air-force,Air Force,NA
A.J. Walker,aj-walker-1,2019,air-force,Air Force,NA
Christopher Joyce,christopher-joyce-1,2019,air-force,Air Force,NA
Caleb Morris,caleb-morris-1,2019,air-force,Air Force,NA
Sid Tomes,sid-tomes-1,2019,air-force,Air Force,NA
Keaton Van Soelen,keaton-vansoelen-1,2019,air-force,Air Force,NA
Ameka Akaya,ameka-akaya-1,2019,air-force,Air Force,NA
Pervis Louder,pervis-louder-1,2019,air-force,Air Force,NA
LeSean Brown,lesean-brown-1,2019,air-force,Air Force,NA
Abe Kinrade,abe-kinrade-1,2019,air-force,Air Force,NA
Bryce Hughes,bryce-hughes-1,2019,air-force,Air Force,NA
Charles O'Briant,charles-obriant-1,2019,air-force,Air Force,NA
Zach Couper,zach-couper-1,2019,air-force,Air Force,NA
James Edwards,james-edwards-4,2019,air-force,Air Force,NA
Nick Rene,nick-rene-1,2019,air-force,Air Force,NA
Isaac Monson,isaac-monson-1,2019,air-force,Air Force,NA
Daniel Utomi,daniel-utomi-1,2019,akron,Akron,NA
Loren Jackson,loren-jackson-1,2019,akron,Akron,NA
Jimond Ivey,jimond-ivey-1,2019,akron,Akron,NA
Tyler Cheese,tyler-cheese-1,2019,akron,Akron,NA
Channel Banks,channel-banks-1,2019,akron,Akron,NA
Deng Riak,deng-riak-1,2019,akron,Akron,NA
Jeremy Roscoe,jeremy-roscoe-1,2019,akron,Akron,NA
Emmanuel Olojakpoke,emmanuel-olojakpoke-1,2019,akron,Akron,NA
