school,url_school,location
Detroit Mercy Titans,detroit-mercy,"Detroit, Michigan"
Dickinson College Red Devils,dickinson-college,"Carlisle, Pennsylvania"
Drake Bulldogs,drake,"Des Moines, Iowa"
Drexel Dragons,drexel,"Philadelphia, Pennsylvania"
Duke Blue Devils,duke,"Durham, North Carolina"
Duquesne Dukes,duquesne,"Pittsburgh, Pennsylvania"
East Carolina Pirates,east-carolina,"Greenville, North Carolina"
East Central Tigers,east-central,"Ada, Oklahoma"
East Tennessee State Buccaneers,east-tennessee-state,"Johnson City, Tennessee"
Eastern Illinois Panthers,eastern-illinois,"Charleston, Illinois"
Eastern Kentucky Colonels,eastern-kentucky,"Richmond, Kentucky"
Eastern Michigan Eagles,eastern-michigan,"Ypsilanti, Michigan"
Eastern Washington Eagles,eastern-washington,"Cheney, Washington"
Elon Phoenix,elon,"Elon, North Carolina"
Emporia State Hornets,emporia-state,"Emporia, Kansas"
Evansville Purple Aces,evansville,"Evansville, Indiana"
Fairfield Stags,fairfield,"Fairfield, Connecticut"
Fairleigh Dickinson Knights,fairleigh-dickinson,"Teaneck, New Jersey"
Florida A&M Rattlers,florida-am,"Tallahassee, Florida"
Florida Atlantic Owls,florida-atlantic,"Boca Raton, Florida"
Florida Gators,florida,"Gainesville, Florida"
Florida Gulf Coast Eagles,florida-gulf-coast,"Fort Myers, Florida"
Florida International Panthers,florida-international,"Miami, Florida"
Florida State Seminoles,florida-state,"Tallahassee, Florida"
Fordham Rams,fordham,"Bronx, New York"
Franklin Grizzlies,franklin,"Franklin, Indiana"
Fresno State Bulldogs,fresno-state,"Fresno, California"
Furman Paladins,furman,"Greenville, South Carolina"
Gardner-Webb Runnin' Bulldogs,gardner-webb,"Boiling Springs, North Carolina"
Geneva Golden Tornadoes,geneva,"Beaver Falls, Pennsylvania"
George Mason Patriots,george-mason,"Fairfax, Virginia"
George Washington Colonials,george-washington,"Washington, D.C."
Georgetown Hoyas,georgetown,"Washington, D.C."
Georgia Bulldogs,georgia,"Athens, Georgia"
Georgia Southern Eagles,georgia-southern,"Statesboro, Georgia"
Georgia State Panthers,georgia-state,"Atlanta, Georgia"
Georgia Tech Yellow Jackets,georgia-tech,"Atlanta, Georgia"
Gettysburg Bullets,gettysburg,"Gettysburg, Pennsylvania"
Gonzaga Bulldogs,gonzaga,"Spokane, Washington"
Grambling Tigers,grambling,"Grambling, Louisiana"
Grand Canyon Antelopes,grand-canyon,"Phoenix, Arizona"
Green Bay Phoenix,green-bay,"Green Bay, Wisconsin"
Grinnell Pioneers,grinnell,"Grinnell, Iowa"
Grove City Wolverines,grove-city,"Grove City, Pennsylvania"
Hamline Pipers,hamline,"St. Paul, Minnesota"
Hampton Pirates,hampton,"Hampton, Virginia"
Hardin-Simmons Cowboys,hardin-simmons,"Abilene, Texas"
Hartford Hawks,hartford,"West Hartford, Connecticut"
Harvard Crimson,harvard,"Boston, Massachusetts"
Haskell (KS) Fighting Indians,haskell-indian-nations-institute,"Lawrence, Kansas"
Hawaii Rainbow Warriors,hawaii,"Honolulu, Hawaii"
High Point Panthers,high-point,"High Point, North Carolina"
Hiram Terriers,hiram,"Hiram, Ohio"
Hofstra Pride,hofstra,"Hempstead, New York"
Holy Cross Crusaders,holy-cross,"Worcester, Massachusetts"
Hope Flying Dutchmen,hope,"Holland, Michigan"
Houston Baptist Huskies,houston-baptist,"Houston, Texas"
Houston Cougars,houston,"Houston, Texas"
Howard Bison,howard,"Washington, D.C."
Idaho State Bengals,idaho-state,"Pocatello, Idaho"
Idaho Vandals,idaho,"Moscow, Idaho"
Illinois Fighting Illini,illinois,"Champaign, Illinois"
Illinois State Redbirds,illinois-state,"Normal, Illinois"
Illinois Wesleyan Titans,illinois-wesleyan,"Bloomington, Illinois"
Illinois-Chicago Flames,illinois-chicago,"Chicago, Illinois"
Incarnate Word Cardinals,incarnate-word,"San Antonio, Texas"
Indiana Hoosiers,indiana,"Bloomington, Indiana"
Indiana State Sycamores,indiana-state,"Terre Haute, Indiana"
Iona Gaels,iona,"New Rochelle, New York"
Iowa Hawkeyes,iowa,"Iowa City, Iowa"
Iowa State Cyclones,iowa-state,"Ames, Iowa"
IUPUI Jaguars,iupui,"Indianapolis, Indiana"
Jackson State Tigers,jackson-state,"Jackson, Mississippi"
Jacksonville Dolphins,jacksonville,"Jacksonville, Florida"
Jacksonville State Gamecocks,jacksonville-state,"Jacksonville, Alabama"
James Madison Dukes,james-madison,"Harrisonburg, Virginia"
John Carroll Blue Streaks,john-carroll,"University Heights, Ohio"
Kalamazoo Hornets,kalamazoo,"Kalamazoo, Michigan"
Kansas Jayhawks,kansas,"Lawrence, Kansas"
Kansas State Wildcats,kansas-state,"Manhattan, Kansas"
Kennesaw State Owls,kennesaw-state,"Kennesaw, Georgia"
Kent State Golden Flashes,kent-state,"Kent, Ohio"
Kentucky Wesleyan Panthers,kentucky-wesleyan,"Owensboro, Kentucky"
Kentucky Wildcats,kentucky,"Lexington, Kentucky"
La Salle Explorers,la-salle,"Philadelphia, Pennsylvania"
Lafayette Leopards,lafayette,"Easton, Pennsylvania"
Lake Forest Foresters,lake-forest,"Lake Forest, Illinois"
Lamar Cardinals,lamar,"Beaumont, Texas"
Latter Day Saints University ,latter-day-saints-university,"Salt Lake City, Utah"
Lawrence Vikings,lawrence,"Appleton, Wisconsin"
Lehigh Mountain Hawks,lehigh,"Bethlehem, Pennsylvania"
Lewis Institute ,lewis-university,"Chicago, Illinois"
Liberty Flames,liberty,"Lynchburg, Virginia"
Lipscomb Bisons,lipscomb,"Nashville, Tennessee"
Little Rock Trojans,arkansas-little-rock,"Little Rock, Arkansas"
Long Island University Sharks,long-island-university,"Brooklyn, New York"
Longwood Lancers,longwood,"Farmville, Virginia"
Louisiana Ragin' Cajuns,louisiana-lafayette,"Lafayette, Louisiana"
Louisiana State Fighting Tigers,louisiana-state,"Baton Rouge, Louisiana"
Louisiana Tech Bulldogs,louisiana-tech,"Ruston, Louisiana"
Louisiana-Monroe Warhawks,louisiana-monroe,"Monroe, Louisiana"
Louisville Cardinals,louisville,"Louisville, Kentucky"
Loyola (IL) Ramblers,loyola-il,"Chicago, Illinois"
Loyola (LA) Wolfpack,loyola-la,"New Orleans, Louisiana"
Loyola (MD) Greyhounds,loyola-md,"Baltimore, Maryland"
Loyola Marymount Lions,loyola-marymount,"Los Angeles, California"
Macalester Scots,macalester,"St. Paul, Minnesota"
Maine Black Bears,maine,"Orono, Maine"
Manchester Spartans,manchester,"North Manchester, Indiana"
Manhattan Jaspers,manhattan,"Riverdale, New York"
Marietta Pioneers,marietta,"Marietta, Ohio"
Marist Red Foxes,marist,"Poughkeepsie, New York"
Marquette Golden Eagles,marquette,"Milwaukee, Wisconsin"
Marshall Thundering Herd,marshall,"Huntington, West Virginia"
Maryland Terrapins,maryland,"College Park, Maryland"
Maryland-Baltimore County Retrievers,maryland-baltimore-county,"Baltimore, Maryland"
Maryland-Eastern Shore Hawks,maryland-eastern-shore,"Princess Anne, Maryland"
Massachusetts Institute of Technology Engineers,massachusetts-institute-of-technology,"Cambridge, Massachusetts"
Massachusetts Minutemen,massachusetts,"Amherst, Massachusetts"
Massachusetts-Lowell River Hawks,massachusetts-lowell,"Lowell, Massachusetts"
McNeese State Cowboys,mcneese-state,"Lake Charles, Louisiana"
Memphis Tigers,memphis,"Memphis, Tennessee"
Mercer Bears,mercer,"Macon, Georgia"
Merchant Marine Academy Mariners,merchant-marine-academy,"King's Point, New York"
Merrimack Warriors,merrimack,"North Andover, Massachusetts"
Miami (FL) Hurricanes,miami-fl,"Coral Gables, Florida"
Miami (OH) RedHawks,miami-oh,"Oxford, Ohio"
Michigan State Spartans,michigan-state,"East Lansing, Michigan"
Michigan Wolverines,michigan,"Ann Arbor, Michigan"
Middle Tennessee Blue Raiders,middle-tennessee,"Murfreesboro, Tennessee"
Millikin Big Blue,millikin,"Decatur, Illinois"
Millsaps Majors,millsaps,"Jackson, Mississippi"
Milwaukee Panthers,milwaukee,"Milwaukee, Wisconsin"
Minnesota A&M Aggies,minnesota-am,"St. Paul, Minnesota"
Minnesota Golden Gophers,minnesota,"Minneapolis, Minnesota"
Mississippi Rebels,mississippi,"University, Mississippi"
Mississippi State Bulldogs,mississippi-state,"Mississippi State, Mississippi"
Mississippi Valley State Delta Devils,mississippi-valley-state,"Itta Bena, Mississippi"
Missouri State Bears,missouri-state,"Springfield, Missouri"
Missouri Tigers,missouri,"Columbia, Missouri"
Missouri-Kansas City Kangaroos,missouri-kansas-city,"Kansas City, Missouri"
Monmouth Hawks,monmouth,"West Long Branch, New Jersey"
Montana Grizzlies,montana,"Missoula, Montana"
Montana State Bobcats,montana-state,"Bozeman, Montana"
Morehead State Eagles,morehead-state,"Morehead, Kentucky"
Morgan State Bears,morgan-state,"Baltimore, Maryland"
Morris Brown Wolverines,morris-brown,"Atlanta, Georgia"
Mount St. Mary's Mountaineers,mount-st-marys,"Emmitsburg, Maryland"
Mount Union Purple Raiders,mount-union,"Alliance, Ohio"
Muhlenburg Mules,muhlenburg,"Allentown, Pennsylvania"
Murray State Racers,murray-state,"Murray, Kentucky"
Muskingum Fighting Muskies,muskingum,"New Concord, Ohio"
Navy Midshipmen,navy,"Annapolis, Maryland"
Nebraska Cornhuskers,nebraska,"Lincoln, Nebraska"
Nebraska Wesleyan Prairie Wolves,nebraska-wesleyan,"Lincoln, Nebraska"
Nevada Wolf Pack,nevada,"Reno, Nevada"
Nevada-Las Vegas Rebels,nevada-las-vegas,"Las Vegas, Nevada"
New Hampshire Wildcats,new-hampshire,"Durham, New Hampshire"
New Mexico Lobos,new-mexico,"Albuquerque, New Mexico"
New Mexico State Aggies,new-mexico-state,"Las Cruces, New Mexico"
New Orleans Privateers,new-orleans,"New Orleans, Louisiana"
New York University Violets,new-york-university,"New York, New York"
Newberry Wolves,newberry,"Newberry, South Carolina"
Niagara Purple Eagles,niagara,"Niagara University, New York"
