school,url_school,location
Westminster (MO) Blue Jays,westminster-mo,"Fulton, Missouri"
Westminster (PA) Titans,westminster-pa,"New Wilmington, Pennsylvania"
Wheaton (IL) Thunder,wheaton-il,"Wheaton, Illinois"
Whittier Poets,whittier,"Whittier, California"
Wichita State Shockers,wichita-state,"Wichita, Kansas"
Widener Pride,widener,"Chester, Pennsylvania"
William & Mary Tribe,william-mary,"Williamsburg, Virginia"
Williams Ephs,williams,"Williamstown, Massachusetts"
Winthrop Eagles,winthrop,"Rock Hill, South Carolina"
Wisconsin Badgers,wisconsin,"Madison, Wisconsin"
Wisconsin-Stevens Point Pointers,wisconsin-stevens-point,"Stevens Point, Wisconsin"
Wisconsin-Superior Yellowjackets,wisconsin-superior,"Superior, Wisconsin"
Wittenberg Tigers,wittenberg,"Springfield, Ohio"
Wofford Terriers,wofford,"Spartanburg, South Carolina"
Wooster Fighting Scots,wooster,"Wooster, Ohio"
Worcester Tech Engineers,worcester-tech,"Worcester, Massachusetts"
Wright State Raiders,wright-state,"Dayton, Ohio"
Wyoming Cowboys,wyoming,"Laramie, Wyoming"
Xavier Musketeers,xavier,"Cincinnati, Ohio"
Yale Bulldogs,yale,"New Haven, Connecticut"
Youngstown State Penguins,youngstown-state,"Youngstown, Ohio"
