year_id,pts,mp,player,player_id,school_name,url_school
2016,16,44,James Demery,james-demery-1,Saint Joseph's,saint-josephs
2015,16,44,Peter Jok,peter-jok-1,Iowa,iowa
2008,5,44,Andre Allen,andre-allen-1,Memphis,memphis
2015,2,44,Chinanu Onuaku,chinanu-onuaku-1,Louisville,louisville
2010,12,44,Erving Walker,erving-walker-1,Florida,florida
2010,12,44,Ivan Aska,ivan-aska-1,Murray State,murray-state
2009,12,44,Keith Ramsey,keith-ramsey-1,Missouri,missouri
2010,7,44,Andre Dawkins,andre-dawkins-1,Duke,duke
2014,27,44,Kennedy Meeks,kennedy-meeks-1,North Carolina,north-carolina
2019,23,44,Nahziah Carter,nahziah-carter-1,Washington,washington
2018,13,44,Christian Bradford,christian-bradford-1,Radford,radford
2011,8,44,Justin Knox,justin-knox-1,North Carolina,north-carolina
2015,8,44,Thomas Welsh,thomas-welsh-1,UCLA,ucla
2008,3,44,Corey Bailey,corey-bailey-1,Nevada-Las Vegas,nevada-las-vegas
2018,8,44,Kaiser Gates,kaiser-gates-1,Xavier,xavier
2012,10,44,Rob Loe,rob-loe-1,Saint Louis,saint-louis
2018,25,44,Matt Coleman,matt-coleman-3,Texas,texas
2008,11,44,Duke Crews,duke-crews-1,Tennessee,tennessee
2012,7,44,Justin Watts,justin-watts-1,North Carolina,north-carolina
2014,23,44,Tony Parker,tony-parker-1,UCLA,ucla
2019,17,44,Myo Baxter-Bell,myo-baxter-bell-1,Liberty,liberty
2016,6,44,Austin Etherington,austin-etherington-1,Butler,butler
2009,21,44,Terrence Jennings,terrence-jennings-1,Louisville,louisville
2012,11,44,A.J. Hardeman,aj-hardeman-1,New Mexico,new-mexico
2015,12,44,Jamari Traylor,jamari-traylor-1,Kansas,kansas
2013,12,44,Melvin Johnson,melvin-johnson-2,Virginia Commonwealth,virginia-commonwealth
2018,9,44,Jaaron Simmons,jaaron-simmons-1,Michigan,michigan
2010,15,44,D.J. Byrd,dj-byrd-1,Purdue,purdue
2014,2,44,Dominique Hawkins,dominique-hawkins-1,Kentucky,kentucky
2008,11,44,Adam Emmenecker,adam-emmenecker-1,Drake,drake
2019,6,44,Rocky Kreuser,rocky-kreuser-1,North Dakota State,north-dakota-state
2009,16,43,Keaton Nankivil,keaton-nankivil-1,Wisconsin,wisconsin
2009,36,43,Kim English,kim-english-1,Missouri,missouri
2009,7,43,Larry Drew,larry-drew-2,North Carolina,north-carolina
2011,10,43,Shane Southwell,shane-southwell-1,Kansas State,kansas-state
2018,13,43,Jannson Williams,jannson-williams-1,Marshall,marshall
2013,4,43,T.J. DiLeo,tj-dileo-1,Temple,temple
2014,22,43,Conner Frankamp,conner-frankamp-1,Kansas,kansas
2013,29,43,James Rahon,james-rahon-2,San Diego State,san-diego-state
2014,18,43,Daniel Mullings,daniel-mullings-1,New Mexico State,new-mexico-state
2011,10,43,Dallas Lauderdale,dallas-lauderdale-1,Ohio State,ohio-state
2018,7,43,Dylan Osetkowski,dylan-osetkowski-1,Texas,texas
2009,16,43,B.J. Holmes,bj-holmes-1,Texas A&M,texas-am
2015,6,43,Wayne Selden,wayne-selden-1,Kansas,kansas
2009,12,43,Leonard Washington,leonard-washington-1,Southern California,southern-california
2014,11,43,Jalen Robinson,jalen-robinson--1,Dayton,dayton
2017,6,43,Rex Pflueger,rex-pfleuger-1,Notre Dame,notre-dame
2015,20,43,Jared Nickens,jared-nickens-1,Maryland,maryland
2015,15,43,Bonzie Colson,bonzie-colson-1,Notre Dame,notre-dame
2013,11,43,Grant Jerrett,grant-jerrett-1,Arizona,arizona
2017,6,43,D'Mitrik Trice,dmitrik-trice-1,Wisconsin,wisconsin
2017,24,43,Jarron Cumberland,jarron-cumberland-1,Cincinnati,cincinnati
2016,12,43,J.P. Macura,jp-macura-1,Xavier,xavier
2018,11,43,Marques Bolden,marques-bolden-1,Duke,duke
2016,2,43,Sheriff Drammeh,sheriff-drammeh-1,Hawaii,hawaii
2016,14,43,Lamarr Kimble,lamarr-kimble-1,Saint Joseph's,saint-josephs
2010,4,43,Martavious Irving,martavious-irving-1,Kansas State,kansas-state
2010,21,43,Mouphtaou Yarou,mouphtaou-yarou-1,Villanova,villanova
2013,12,43,Jon Horford,jon-horford-1,Michigan,michigan
2016,18,43,Alex Poythress,alex-poythress-1,Kentucky,kentucky
2014,9,43,John Gage,john-gage-1,Stanford,stanford
2008,15,43,Jimmy Graham,jimmy-graham-1,Miami (FL),miami-fl
2014,13,43,Chris Wilson,chris-wilson-1,Saint Joseph's,saint-josephs
2015,32,43,M.J. Rhett,mj-rhett-1,Mississippi,mississippi
2010,16,43,Tony Woods,tony-woods-1,Wake Forest,wake-forest
2008,38,43,Pete Campbell,pete-campbell-1,Butler,butler
2010,7,43,Abdul Gaddy,abdul-gaddy-1,Washington,washington
2015,20,43,Coreontae DeBerry,coreontae-deberry-1,Cincinnati,cincinnati
2008,18,43,Lawrence Hill,lawrence-hill-1,Stanford,stanford
2015,19,43,Joel Berry,joel-berry-1,North Carolina,north-carolina
2016,2,43,Jamari Traylor,jamari-traylor-1,Kansas,kansas
2015,8,43,Aqeel Quinn,aqeel-quinn-1,San Diego State,san-diego-state
2012,5,43,Nate Lubick,nate-lubick-1,Georgetown,georgetown
2014,5,42,Briante Weber,briante-weber-1,Virginia Commonwealth,virginia-commonwealth
2014,13,42,Michael Young,michael-young-3,Pittsburgh,pittsburgh
2013,9,42,Remy Abell,remy-abell-1,Indiana,indiana
2013,13,42,Alioune Diouf,alioune-diouf-1,James Madison,james-madison
2014,10,42,Josh Newkirk,josh-newkirk-1,Pittsburgh,pittsburgh
2016,0,42,Papa Ndao,papa-ndao-1,Saint Joseph's,saint-josephs
