player,player_id,season,url_school,school,rsci
Jaren Lewis,jaren-lewis-1,2017,abilene-christian,Abilene Christian,NA
Jalone Friday,jalone-friday-1,2017,abilene-christian,Abilene Christian,NA
Jaylen Franklin,jaylen-franklin-1,2017,abilene-christian,Abilene Christian,NA
Hayden Farquhar,hayden-farquhar-1,2017,abilene-christian,Abilene Christian,NA
Isaiah Tripp,isaiah-tripp-1,2017,abilene-christian,Abilene Christian,NA
Drake Green,drake-green-1,2017,abilene-christian,Abilene Christian,NA
Hayden Howell,hayden-howell-1,2017,abilene-christian,Abilene Christian,NA
Jovan Crnic,jovan-crnic-1,2017,abilene-christian,Abilene Christian,NA
Payten Ricks,payten-ricks-1,2017,abilene-christian,Abilene Christian,NA
B.J. Maxwell,bj-maxwell-1,2017,abilene-christian,Abilene Christian,NA
Diamante Langston,diamante-langston-1,2017,abilene-christian,Abilene Christian,NA
Trey Lenox,trey-lenox-1,2017,abilene-christian,Abilene Christian,NA
Jadon Reynolds,jadon-reynolds-1,2017,abilene-christian,Abilene Christian,NA
Hayden Graham,hayden-graham-1,2017,air-force,Air Force,NA
Frank Toohey,frank-toohey-1,2017,air-force,Air Force,NA
Jacob Van,jacob-van-1,2017,air-force,Air Force,NA
Zach Kocur,zach-kocur-1,2017,air-force,Air Force,NA
Trevor Lyons,trevor-lyons-1,2017,air-force,Air Force,NA
Ryan Manning,ryan-manning-1,2017,air-force,Air Force,NA
Lavelle Scottie,lavelle-scottie-1,2017,air-force,Air Force,NA
C.J. Siples,cj-siples-1,2017,air-force,Air Force,NA
Dane Norman,dane-norman-1,2017,air-force,Air Force,NA
Pervis Louder,pervis-louder-1,2017,air-force,Air Force,NA
Sid Tomes,sid-tomes-1,2017,air-force,Air Force,NA
Caleb Morris,caleb-morris-1,2017,air-force,Air Force,NA
Ryan Swan-Ford,ryan-swan-ford-1,2017,air-force,Air Force,NA
LeSean Brown,lesean-brown-1,2017,air-force,Air Force,NA
Jonathan DeWane,jonathan-dewane-1,2017,air-force,Air Force,NA
Kyle Broekhuis,kyle-broekhuis-1,2017,air-force,Air Force,NA
Brendan Leonard,brendan-leonard-1,2017,air-force,Air Force,NA
Keegan Culp,keegan-culp-1,2017,air-force,Air Force,NA
Daniel Hummer,daniel-hummer-1,2017,air-force,Air Force,NA
Isaiah Johnson,isaiah-johnson-1,2017,akron,Akron,NA
Kwan Cheatham,kwan-cheatham-1,2017,akron,Akron,NA
Jimond Ivey,jimond-ivey-1,2017,akron,Akron,NA
Antino Jackson,antino-jackson-1,2017,akron,Akron,NA
Noah Robotham,noah-robotham-1,2017,akron,Akron,NA
Josh Williams,josh-williams-5,2017,akron,Akron,NA
Tavian Dunn-Martin,tavian-dunn-martin-1,2017,akron,Akron,NA
Daniel Utomi,daniel-utomi-1,2017,akron,Akron,NA
Aaron Jackson,aaron-jackson-2,2017,akron,Akron,NA
Emmanuel Olojakpoke,emmanuel-olojakpoke-1,2017,akron,Akron,NA
Michael Hughes,michael-hughes-2,2017,akron,Akron,NA
Craig Eubanks,craig-eubanks-1,2017,akron,Akron,NA
Mark Noble,mark-noble-1,2017,akron,Akron,NA
