season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2010,Dartmouth,2,"85.6
339","98.8
131",".1619
302","42.6
335","50.5
225","23.1
292","23.6
38","23.3
337","33.5
202","24.6
340","38.7
182","41.8
328","51
274","30
279","33
140","64.1
275","-2.8
197"
2009,Colgate,3,"91.4
297","106.4
263",".1490
302","45.7
275","45.1
53","22.2
251","18.6
262","28.6
279","32.9
170","40.1
93","38.1
207","46.7
214","43.9
60","28.8
302","31.6
81","62.6
303","-5.2
307"
2008,"Mississippi Valley St.
16 seed, R64",4,"94.8
268","110.3
298",".1494
302","46.6
267","47.6
94","22.5
249","22.5
94","40.8
12","33.1
189","51
11","36.9
173","44
283","47.2
129","37
105","32.2
91","64.6
248","-2.7
218"
2020,Southeastern Louisiana,3,"90.4
332","102.3
203",".1934
301","46.9
266","52.2
263","23.4
341","24.5
15","23.9
281","31.6
284","37.4
95","43
318","45.7
289","54.1
307","32.8
200","32.6
139","72.2
37","-4.7
311"
2019,Longwood,3,"97.2
266","109.1
277",".2096
301","49.3
249","49.9
135","18.4
172","16.6
270","23.8
283","29.2
212","35.5
119","35.1
230","50.2
167","50.6
188","32.3
251","32.8
114","69.2
155","-4.8
314"
2018,Sacred Heart,1,"96.6
289","109.8
280",".1854
301","48.6
254","48.8
96","19.7
249","13.8
340","33
73","24.3
46","28.2
277","38.6
271","50.2
173","47.2
86","30
316","34.4
144","67.7
227","-6.2
340"
2017,American,2,"95.8
292","108.3
254",".1966
301","52.2
131","52.6
238","21
303","21
61","21.3
328","26.9
104","33
231","50.1
339","54.4
46","50
184","32.3
256","38.9
288","64.5
328","-5.8
337"
2016,Coppin St.,3,"95.4
298","109.0
268",".1782
301","42.1
342","49
139","16.2
70","20.5
55","36.4
27","33.9
311","39
133","34.8
132","40.3
346","49.2
193","30.3
304","32.3
92","67.4
232","-1.8
147"
2015,North Carolina A&T,4,"95.7
287","108.1
263",".1981
301","47.2
235","48.1
142","24.3
342","18.6
184","38.5
19","30.1
145","52.3
10","34.4
129","47.8
176","46.1
121","30.7
275","34.7
186","62.3
263","-3.5
242"
2014,St. Francis PA,3,"97.2
294","110.4
265",".1874
301","50.9
123","47.1
88","18.5
190","16.2
273","26.3
289","33.6
256","31.2
325","30.8
33","52.5
46","43.8
52","32.4
244","37.8
259","63
303","-4.2
301"
2013,Louisiana Monroe,1,"92.7
290","106.0
260",".1761
301","49.4
142","51.2
257","22.4
282","22.4
75","28.2
267","34.8
264","32.8
235","42.2
284","49.6
90","53
317","32.6
209","31.7
111","66.6
128","-5.8
330"
2012,Western Carolina,1,"94.6
273","108.8
292",".1671
301","44.4
301","51.8
250","20.3
172","19.8
192","31.5
185","34.9
264","36.8
162","53.6
337","44.6
268","48
169","29.4
299","39.2
286","67.8
83","-5.6
319"
2011,Tennessee Martin,4,"97.6
247","111.3
308",".1801
301","47.3
231","52.8
292","19.8
169","20.9
114","32.2
174","32.8
199","44.8
60","39.6
206","47.8
180","50.8
263","30.7
271","38.7
289","68.8
74","-4.1
277"
2010,Elon,1,"92.2
288","105.8
255",".1691
301","46.4
251","52.6
302","19.7
150","21.9
101","25.9
321","32.3
155","33.9
244","38.5
178","47.1
189","49.1
224","30.3
269","39.1
312","67.8
134","-5.9
321"
2009,Pepperdine,2,"91.0
298","105.5
249",".1549
301","42.8
329","53
293","20.8
186","18.6
262","30.6
225","32.6
161","21
342","33.3
117","41.1
329","49
200","31.7
238","39.7
314","66
181","-3
202"
2008,Louisiana Tech,0,"92.7
290","107.9
263",".1498
301","44.6
302","57.1
330","16.9
26","24.7
31","21.1
337","40.4
336","33.7
221","43.5
272","44.9
259","59.5
340","29.5
303","34.4
154","65.5
223","-4.7
303"
2020,Iona,3,"98.9
222","112.0
321",".1939
300","53
56","52.3
270","20.8
280","18.1
194","23.1
296","29.7
241","25.8
308","42.9
316","51.3
97","45.9
79","36.6
70","41.3
347","69.9
105","-5.1
321"
