player,player_id,season,url_school,school,rsci
Michael Lyons,michael-lyons-1,2012,air-force,Air Force,NA
Mike Fitzgerald,mike-fitzgerald-1,2012,air-force,Air Force,NA
Taylor Broekhuis,taylor-broekhuis-1,2012,air-force,Air Force,NA
Todd Fletcher,todd-fletcher-1,2012,air-force,Air Force,NA
Taylor Stewart,taylor-stewart-1,2012,air-force,Air Force,NA
Kamryn Williams,kamryn-williams-1,2012,air-force,Air Force,NA
Justin Hammonds,justin-hammonds-1,2012,air-force,Air Force,NA
Kyle Green,kyle-green-1,2012,air-force,Air Force,NA
Max Yon,max-yon-1,2012,air-force,Air Force,NA
Chris Carter,chris-carter-4,2012,air-force,Air Force,NA
DeLovell Earls,delovell-earls-1,2012,air-force,Air Force,NA
Chase Kammerer,chase-kammerer-1,2012,air-force,Air Force,NA
Colt Barnhill,colt-barnhill-1,2012,air-force,Air Force,NA
Shawn Hempsey,shawn-hempsey-1,2012,air-force,Air Force,NA
Marek Olesinski,marek-olesinski-1,2012,air-force,Air Force,NA
Adam Brakeville,adam-brakeville-1,2012,air-force,Air Force,NA
Brian Davidson,brian-davidson-1,2012,air-force,Air Force,NA
Scott Stucky,scott-stucky-1,2012,air-force,Air Force,NA
Zeke Marshall,zeke-marshall-1,2012,akron,Akron,61 (2009)
Nikola Cvetinovic,nikola-cvetinovic-1,2012,akron,Akron,
Alex Abreu,alex-abreu-1,2012,akron,Akron,
Quincy Diggs,quincy-diggs-1,2012,akron,Akron,
Brian Walsh,brian-walsh-1,2012,akron,Akron,
Nick Harney,nick-harney-1,2012,akron,Akron,
Demetrius Treadwell,demetrius-treadwell-1,2012,akron,Akron,
Chauncey Gilliam,chauncey-gilliam-1,2012,akron,Akron,
Brett McClanahan,brett-mcclanahan-1,2012,akron,Akron,
Adedeji Ibitayo,adedeji-ibitayo-1,2012,akron,Akron,
Josh Egner,josh-egner-1,2012,akron,Akron,
C.J. Oldham,cj-oldham-1,2012,akron,Akron,
Kyle Petersen,kyle-petersen-1,2012,akron,Akron,
Michael Green,michael-green-3,2012,akron,Akron,
Luke Avsec,luke-avsec-1,2012,akron,Akron,
Casey Cantey,casey-cantey-1,2012,alabama-am,Alabama A&M,NA
Demarquelle Tabb,demarquelle-tabb-1,2012,alabama-am,Alabama A&M,NA
Jeremy Crutcher,jeremy-crutcher-1,2012,alabama-am,Alabama A&M,NA
Brandon Ellis,brandon-ellis-1,2012,alabama-am,Alabama A&M,NA
Jeremy Ingram,jeremy-ingram-3,2012,alabama-am,Alabama A&M,NA
Green Hill,green-hill-1,2012,alabama-am,Alabama A&M,NA
Jerome Hunter,jerome-hunter-1,2012,alabama-am,Alabama A&M,NA
Brandon Allen,brandon-allen-3,2012,alabama-am,Alabama A&M,NA
Eddie Hardy,eddie-hardy-1,2012,alabama-am,Alabama A&M,NA
Marcus Lee,marcus-lee-1,2012,alabama-am,Alabama A&M,NA
Diamon Alexander,diamon-alexander-1,2012,alabama-am,Alabama A&M,NA
Reginald Martin,reginald-martin-1,2012,alabama-am,Alabama A&M,NA
Jose Long,jose-long-1,2012,alabama-am,Alabama A&M,NA
Justin Banks,justin-banks-1,2012,alabama-am,Alabama A&M,NA
Anthony Lanier,anthony-lanier-1,2012,alabama-am,Alabama A&M,NA
Devin Colman,devin-colman-1,2012,alabama-am,Alabama A&M,NA
Cameron Moore,cameron-moore-1,2012,alabama-birmingham,Alabama-Birmingham,
Jordan Swing,jordan-swing-1,2012,alabama-birmingham,Alabama-Birmingham,
Preston Purifoy,preston-purifoy-1,2012,alabama-birmingham,Alabama-Birmingham,
Ovie Soko,ovie-soko-1,2012,alabama-birmingham,Alabama-Birmingham,
Quincy Taylor,quincy-taylor-1,2012,alabama-birmingham,Alabama-Birmingham,
Jekore Tyler,jekore-tyler-1,2012,alabama-birmingham,Alabama-Birmingham,
Robert Williams,robert-williams-2,2012,alabama-birmingham,Alabama-Birmingham,
K.C. Whitaker,kc-whitaker-1,2012,alabama-birmingham,Alabama-Birmingham,
Herb Harrison,herb-harrison-1,2012,alabama-birmingham,Alabama-Birmingham,
Alexander Scotland-Williamson,alexander-scotland-williamson-1,2012,alabama-birmingham,Alabama-Birmingham,
Beas Hamga,beas-hamga-1,2012,alabama-birmingham,Alabama-Birmingham,79 (2007)
Tramaine Butler,tramaine-butler-1,2012,alabama-state,Alabama State,NA
Ivory White,ivory-white-1,2012,alabama-state,Alabama State,NA
Phillip Crawford,phillip-crawford-1,2012,alabama-state,Alabama State,NA
Kenderek Washington,kenderek-washington-1,2012,alabama-state,Alabama State,NA
Ryan Watts,ryan-watts-1,2012,alabama-state,Alabama State,NA
Jeffery Middlebrooks,jeffery-middlebrooks-1,2012,alabama-state,Alabama State,NA
Stephawn Brown,stephawn-brown-1,2012,alabama-state,Alabama State,NA
Luther Page,luther-page-1,2012,alabama-state,Alabama State,NA
Joshua Mason,joshua-mason-1,2012,alabama-state,Alabama State,NA
Jonathan Jefferson,jonathan-jefferson-1,2012,alabama-state,Alabama State,NA
Anthony Price,anthony-price-2,2012,alabama-state,Alabama State,NA
Quintarius Hutchinson,quintarius-hutchinson-1,2012,alabama-state,Alabama State,NA
Trevor Releford,trevor-releford-1,2012,alabama,Alabama,60 (2010)
JaMychal Green,jamychal-green-1,2012,alabama,Alabama,17 (2008)
Tony Mitchell,tony-mitchell-3,2012,alabama,Alabama,"39 (2008), 93 (2009)"
Trevor Lacey,trevor-lacey-1,2012,alabama,Alabama,36 (2011)
Levi Randolph,levi-randolph-1,2012,alabama,Alabama,29 (2011)
Nick Jacobs,nick-jacobs-1,2012,alabama,Alabama,
Rodney Cooper,rodney-cooper-1,2012,alabama,Alabama,90 (2011)
Andrew Steele,andrew-steele-1,2012,alabama,Alabama,
Charles Hankerson,charles-hankerson-jr-1,2012,alabama,Alabama,
Carl Engstrom,carl-engstrom-1,2012,alabama,Alabama,
Moussa Gueye,moussa-gueye-1,2012,alabama,Alabama,
Ben Eblen,ben-eblen-1,2012,alabama,Alabama,
Keon Blackledge,keon-blackledge-1,2012,alabama,Alabama,
Gerardo Suero,gerardo-suero-1,2012,albany-ny,Albany (NY),NA
Mike Black,mike-black-1,2012,albany-ny,Albany (NY),NA
Logan Aronhalt,logan-aronhalt-1,2012,albany-ny,Albany (NY),NA
Jayson Guerrier,jayson-guerrier-1,2012,albany-ny,Albany (NY),NA
Luke Devlin,luke-devlin-1,2012,albany-ny,Albany (NY),NA
Blake Metcalf,blake-metcalf-1,2012,albany-ny,Albany (NY),NA
Jacob Iati,jacob-iati-1,2012,albany-ny,Albany (NY),NA
Ralph Watts,ralph-watts-1,2012,albany-ny,Albany (NY),NA
John Puk,john-puk-1,2012,albany-ny,Albany (NY),NA
Sam Rowley,sam-rowley-1,2012,albany-ny,Albany (NY),NA
Tanner Gibson,tanner-gibson-1,2012,albany-ny,Albany (NY),NA
Peter Hooley,peter-hooley-1,2012,albany-ny,Albany (NY),NA
Kendrick McDonald,kendrick-mcdonald-1,2012,alcorn-state,Alcorn State,NA
Twann Oakley,twann-oakley-1,2012,alcorn-state,Alcorn State,NA
Xavian Rimmer,xavian-rimmer-1,2012,alcorn-state,Alcorn State,NA
Ian Francis,ian-francis-1,2012,alcorn-state,Alcorn State,NA
KeDorian Sullivan,kedorian-sullivan-1,2012,alcorn-state,Alcorn State,NA
Anthony Nieves,anthony-nieves-1,2012,alcorn-state,Alcorn State,NA
JaMichael Hawkins,jamichael-hawkins-1,2012,alcorn-state,Alcorn State,NA
Michael Starks,michael-starks-1,2012,alcorn-state,Alcorn State,NA
Chris Brand,chris-brand-1,2012,alcorn-state,Alcorn State,NA
Martrevious Sanders,martrevious-sanders-1,2012,alcorn-state,Alcorn State,NA
Jarvis Moore,jarvis-moore-1,2012,alcorn-state,Alcorn State,NA
Marquis Baker,marquis-baker-1,2012,alcorn-state,Alcorn State,NA
Tyson Tufono,tyson-tufono-1,2012,alcorn-state,Alcorn State,NA
Devon Francois,devon-francois-1,2012,alcorn-state,Alcorn State,NA
Darien Johnson,darien-johnson-2,2012,alcorn-state,Alcorn State,NA
Charles Hinkle,charles-hinkle-2,2012,american,American,NA
Troy Brewer,troy-brewer-1,2012,american,American,NA
Daniel Munoz,daniel-munoz-1,2012,american,American,NA
Blake Jolivette,blake-jolivette-1,2012,american,American,NA
Tony Wroblicky,tony-wroblicky-1,2012,american,American,NA
Riley Grafft,riley-grafft-1,2012,american,American,NA
Simon McCormack,simon-mccormack-1,2012,american,American,NA
John Schoof,john-schoof-1,2012,american,American,NA
Mike Bersch,mike-bersch-1,2012,american,American,NA
Daniel Fisher,daniel-fisher-1,2012,american,American,NA
Wayne Simon,wayne-simon-1,2012,american,American,NA
Joe Hill,joe-hill-1,2012,american,American,NA
Kyle Kager,kyle-kager-1,2012,american,American,NA
Warren Flood,warren-flood-1,2012,american,American,NA
Jordan Borucki,jordan-borucki-1,2012,american,American,NA
Omar Carter,omar-carter-1,2012,appalachian-state,Appalachian State,NA
Andre Williamson,andre-williamson-1,2012,appalachian-state,Appalachian State,NA
Jamaal Trice,jamaal-trice-1,2012,appalachian-state,Appalachian State,NA
Michael Neal,michael-neal-3,2012,appalachian-state,Appalachian State,NA
Tab Hamilton,tabarris-hamilton-1,2012,appalachian-state,Appalachian State,NA
Isaac Butts,isaac-butts-1,2012,appalachian-state,Appalachian State,NA
Nathan Healy,nathan-healy-1,2012,appalachian-state,Appalachian State,NA
G.J. Vilarino,gj-vilarino-1,2012,appalachian-state,Appalachian State,NA
Rodney Milium,rodney-milium-1,2012,appalachian-state,Appalachian State,NA
Mitch Woods,mitch-woods-1,2012,appalachian-state,Appalachian State,NA
Petey Hausley,petey-hausley-1,2012,appalachian-state,Appalachian State,NA
Brian Okam,brian-okam-1,2012,appalachian-state,Appalachian State,NA
Trent Lockett,trent-lockett-1,2012,arizona-state,Arizona State,
Carrick Felix,carrick-felix-1,2012,arizona-state,Arizona State,
Kyle Cain,kyle-cain-1,2012,arizona-state,Arizona State,
Jonathan Gilling,jonathan-gilling-1,2012,arizona-state,Arizona State,
Chris Colvin,chris-colvin-1,2012,arizona-state,Arizona State,97 (2009)
Jordan Bachynski,jordan-bachynski-1,2012,arizona-state,Arizona State,
Keala King,keala-king-1,2012,arizona-state,Arizona State,53 (2010)
Chanse Creekmur,chanse-creekmur-1,2012,arizona-state,Arizona State,
Ruslan Pateev,ruslan-pateev-1,2012,arizona-state,Arizona State,
David Whitmore,david-whitmore-1,2012,arizona-state,Arizona State,
Pierre Newton,pierre-newton-1,2012,arizona-state,Arizona State,
Max Heller,max-heller-1,2012,arizona-state,Arizona State,
Kyle Fogg,kyle-fogg-1,2012,arizona,Arizona,
Solomon Hill,solomon-hill-1,2012,arizona,Arizona,56 (2009)
Jesse Perry,jesse-perry-1,2012,arizona,Arizona,
Nick Johnson,nick-johnson-1,2012,arizona,Arizona,22 (2011)
Josiah Turner,josiah-turner-1,2012,arizona,Arizona,14 (2011)
Brendon Lavender,brendon-lavender-1,2012,arizona,Arizona,
Jordin Mayes,jordin-mayes-1,2012,arizona,Arizona,
Angelo Chol,angelo-chol-1,2012,arizona,Arizona,59 (2011)
Kevin Parrom,kevin-parrom-1,2012,arizona,Arizona,
Kyryl Natyazhko,kyryl-natyazhko-1,2012,arizona,Arizona,53 (2009)
Max Wiepking,max-wiepking-1,2012,arizona,Arizona,
Alex Jacobson,alex-jacobson-1,2012,arizona,Arizona,
Sidiki Johnson,sidiki-johnson-1,2012,arizona,Arizona,89 (2011)
Robert Arvizu,robert-arvizu-1,2012,arizona,Arizona,
Quinton Crawford,quinton-crawford-1,2012,arizona,Arizona,
Drew Mellon,drew-mellon-1,2012,arizona,Arizona,
Dondre Wise,dondre-wise-1,2012,arizona,Arizona,
D'Andre Williams,dandre-williams-1,2012,arkansas-little-rock,Little Rock,NA
Daylon Guy,daylon-guy-1,2012,arkansas-little-rock,Little Rock,NA
Will Neighbour,will-neighbour-1,2012,arkansas-little-rock,Little Rock,NA
