player,player_id,season,url_school,school,rsci
Harrison Hawkins,harrison-hawkins-1,2015,abilene-christian,Abilene Christian,NA
Parker Wentz,parker-wentz-1,2015,abilene-christian,Abilene Christian,NA
LaDarrien Williams,ladarrien-williams-1,2015,abilene-christian,Abilene Christian,NA
Austin Cooke,austin-cooke-1,2015,abilene-christian,Abilene Christian,NA
Duran Porter,duran-porter-1,2015,abilene-christian,Abilene Christian,NA
Jalen Little,jalen-little-1,2015,abilene-christian,Abilene Christian,NA
Christian Albright,christian-albright-1,2015,abilene-christian,Abilene Christian,NA
Riley Payne,riley-payne-1,2015,abilene-christian,Abilene Christian,NA
Isaiah Tripp,isaiah-tripp-1,2015,abilene-christian,Abilene Christian,NA
Drake Green,drake-green-1,2015,abilene-christian,Abilene Christian,NA
Michael Grant,michael-grant-2,2015,abilene-christian,Abilene Christian,NA
K.J. Maura,kj-maura-1,2015,abilene-christian,Abilene Christian,NA
Alexsander Milosavljevic,alexsander-milosavljevic-1,2015,abilene-christian,Abilene Christian,NA
David Hanson,david-hanson-2,2015,abilene-christian,Abilene Christian,NA
Max Yon,max-yon-1,2015,air-force,Air Force,NA
Marek Olesinski,marek-olesinski-1,2015,air-force,Air Force,NA
Zach Kocur,zach-kocur-1,2015,air-force,Air Force,NA
Trevor Lyons,trevor-lyons-1,2015,air-force,Air Force,NA
Hayden Graham,hayden-graham-1,2015,air-force,Air Force,NA
Matt Mooney,matt-mooney-1,2015,air-force,Air Force,NA
Justin Hammonds,justin-hammonds-1,2015,air-force,Air Force,NA
Kamryn Williams,kamryn-williams-1,2015,air-force,Air Force,NA
Zach Moer,zach-moer-1,2015,air-force,Air Force,NA
DeLovell Earls,delovell-earls-1,2015,air-force,Air Force,NA
Ryan Manning,ryan-manning-1,2015,air-force,Air Force,NA
C.J. Siples,cj-siples-1,2015,air-force,Air Force,NA
Lake Lutes,lake-lutes-1,2015,air-force,Air Force,NA
Jacob Van,jacob-van-1,2015,air-force,Air Force,NA
Kyle Broekhuis,kyle-broekhuis-1,2015,air-force,Air Force,NA
Dezmond James,dezmond-james-1,2015,air-force,Air Force,NA
Frank Toohey,frank-toohey-1,2015,air-force,Air Force,NA
Brendan Leonard,brendan-leonard-1,2015,air-force,Air Force,NA
Adedeji Ibitayo,adedeji-ibitayo-1,2015,akron,Akron,NA
Pat Forsythe,pat-forsythe-1,2015,akron,Akron,NA
Kwan Cheatham,kwan-cheatham-1,2015,akron,Akron,NA
Noah Robotham,noah-robotham-1,2015,akron,Akron,NA
Reggie McAdams,reggie-mcadams-1,2015,akron,Akron,NA
Antino Jackson,antino-jackson-1,2015,akron,Akron,NA
Jake Kretzer,jake-kretzer-1,2015,akron,Akron,NA
Isaiah Johnson,isaiah-johnson-1,2015,akron,Akron,NA
Nyles Evans,nyles-evans-1,2015,akron,Akron,NA
B.J. Gladden,bj-gladden-1,2015,akron,Akron,NA
Aaron Jackson,aaron-jackson-2,2015,akron,Akron,NA
Demetrius Treadwell,demetrius-treadwell-1,2015,akron,Akron,NA
Malcolm Walters,malcolm-walters-1,2015,akron,Akron,NA
Ricardo Hill,ricardo-hill-1,2015,akron,Akron,NA
Mark Noble,mark-noble-1,2015,akron,Akron,NA
Ladarius Tabb,ladarius-tabb-1,2015,alabama-am,Alabama A&M,NA
Nicholas West,nicholas-west-1,2015,alabama-am,Alabama A&M,NA
Rakiya Battle,rakiya-battle-1,2015,alabama-am,Alabama A&M,NA
Tyler Davis,tyler-davis-3,2015,alabama-am,Alabama A&M,NA
Justin Colvin,justin-colvin-1,2015,alabama-am,Alabama A&M,NA
Adrian Edwards,adrian-edwards-1,2015,alabama-am,Alabama A&M,NA
Marcus Merriweather,marcus-merriweather-1,2015,alabama-am,Alabama A&M,NA
Michael Hutchins,michael-hutchins-1,2015,alabama-am,Alabama A&M,NA
Baryn Houston,baryn-houston-1,2015,alabama-am,Alabama A&M,NA
Isaiah Cotton,isaiah-cotton-1,2015,alabama-am,Alabama A&M,NA
Matthew Cotton,matthew-cotton-1,2015,alabama-am,Alabama A&M,NA
Zachary Jackson,zachary-jackson-1,2015,alabama-am,Alabama A&M,NA
Arthur Wade,arthur-wade-1,2015,alabama-am,Alabama A&M,NA
Robert Brown,robert-brown-4,2015,alabama-birmingham,Alabama-Birmingham,86 (2011)
Chris Cokley,chris-cokley-1,2015,alabama-birmingham,Alabama-Birmingham,
Hakeem Baxter,hakeem-baxter-1,2015,alabama-birmingham,Alabama-Birmingham,
William Lee,william-lee-1,2015,alabama-birmingham,Alabama-Birmingham,
Nick Norton,nick-norton-1,2015,alabama-birmingham,Alabama-Birmingham,
Tosin Mehinti,tosin-mehinti-1,2015,alabama-birmingham,Alabama-Birmingham,
Tyler Madison,tyler-madison-1,2015,alabama-birmingham,Alabama-Birmingham,
C.J. Washington,cj-washington-2,2015,alabama-birmingham,Alabama-Birmingham,
Denzell Watts,denzell-watts-1,2015,alabama-birmingham,Alabama-Birmingham,
Lewis Sullivan,lewis-sullivan-1,2015,alabama-birmingham,Alabama-Birmingham,
Denzel Collins,denzel-collins-1,2015,alabama-birmingham,Alabama-Birmingham,
Jarvis Calhoun,jarvis-calhoun-1,2015,alabama-birmingham,Alabama-Birmingham,
Lionel Love,lionel-love-1,2015,alabama-birmingham,Alabama-Birmingham,
Jamel Waters,jamel-waters-1,2015,alabama-state,Alabama State,NA
DeMarcus Robinson,demarcus-robinson-1,2015,alabama-state,Alabama State,NA
Wendell Lewis,wendell-lewis-1,2015,alabama-state,Alabama State,NA
Maurice Strong,maurice-strong-2,2015,alabama-state,Alabama State,NA
Bobby Brown,bobby-brown-2,2015,alabama-state,Alabama State,NA
Luther Page,luther-page-1,2015,alabama-state,Alabama State,NA
Steve Rogers,steve-rogers-1,2015,alabama-state,Alabama State,NA
Brandon Graham,brandon-graham-1,2015,alabama-state,Alabama State,NA
Chidozie Omile,chidozie-omile-1,2015,alabama-state,Alabama State,NA
Tony Armstrong,tony-armstrong-1,2015,alabama-state,Alabama State,NA
