player,player_id,season,url_school,school,rsci
Dan Nwaelele,dan-nwaelele-1,2007,air-force,Air Force,NA
Jacob Burtschi,jacob-burtschi-1,2007,air-force,Air Force,NA
Matt McCraw,matt-mccraw-1,2007,air-force,Air Force,NA
Nick Welch,nick-welch-1,2007,air-force,Air Force,NA
Tim Anderson,tim-anderson-1,2007,air-force,Air Force,NA
Andrew Henke,andrew-henke-1,2007,air-force,Air Force,NA
John Frye,john-frye-1,2007,air-force,Air Force,NA
Anwar Johnson,anwar-johnson-1,2007,air-force,Air Force,NA
Adam Hood,adam-hood-1,2007,air-force,Air Force,NA
Eric Kenzik,eric-kenzik-1,2007,air-force,Air Force,NA
Matt Holland,matt-holland-1,2007,air-force,Air Force,NA
Ryan Teets,ryan-teets-1,2007,air-force,Air Force,NA
Keith Maren,keith-maren-1,2007,air-force,Air Force,NA
Grant Parker,grant-parker-1,2007,air-force,Air Force,NA
Avery Merriex,avery-merriex-1,2007,air-force,Air Force,NA
Saj El-Amin,saj-el-amin-1,2007,air-force,Air Force,NA
Ryan Hess,ryan-hess-1,2007,air-force,Air Force,NA
Romeo Travis,romeo-travis-1,2007,akron,Akron,NA
Cedrick Middleton,cedrick-middleton-1,2007,akron,Akron,NA
Nick Dials,nick-dials-1,2007,akron,Akron,NA
Jeremiah Wood,jeremiah-wood-1,2007,akron,Akron,NA
Dru Joyce,dru-joyce-1,2007,akron,Akron,NA
Quade Milum,quade-milum-1,2007,akron,Akron,NA
Nate Linhart,nate-linhart-1,2007,akron,Akron,NA
Jimmy Conyers,jimmy-conyers-1,2007,akron,Akron,NA
Chris McKnight,chris-mcknight-1,2007,akron,Akron,NA
Nick Goddard,nick-goddard-1,2007,akron,Akron,NA
John Rybak,john-rybak-1,2007,akron,Akron,NA
Tim Carroll,tim-carroll-1,2007,akron,Akron,NA
Zach Sowers,zach-sowers-1,2007,akron,Akron,NA
Jeremy Sallee,jeremy-sallee-1,2007,akron,Akron,NA
Trant Simpson,trant-simpson-2,2007,alabama-am,Alabama A&M,NA
Cornelius Hester,cornelius-hester-1,2007,alabama-am,Alabama A&M,NA
Mickell Gladness,mickell-gladness-1,2007,alabama-am,Alabama A&M,NA
Evan Hilton,evan-hilton-1,2007,alabama-am,Alabama A&M,NA
LaNorris Smith,lanorris-smith-1,2007,alabama-am,Alabama A&M,NA
Jonathan Inman,jonathan-inman-1,2007,alabama-am,Alabama A&M,NA
Jonathon Belt,jonathon-belt-1,2007,alabama-am,Alabama A&M,NA
Johnnie Brown,johnnie-brown-1,2007,alabama-am,Alabama A&M,NA
Andrew Williams,andrew-williams-1,2007,alabama-am,Alabama A&M,NA
Norris Arnold,norris-arnold-1,2007,alabama-am,Alabama A&M,NA
Kudus Ogbara,kudus-ogbara-1,2007,alabama-am,Alabama A&M,NA
Julian Gladness,julian-gladness-1,2007,alabama-am,Alabama A&M,NA
Ryan Parker,ryan-parker-1,2007,alabama-am,Alabama A&M,NA
Paul Delaney,paul-delaney-1,2007,alabama-birmingham,Alabama-Birmingham,
Wen Mukubu,wen-mukubu-1,2007,alabama-birmingham,Alabama-Birmingham,
Lawrence Kinnard,lawrence-kinnard-1,2007,alabama-birmingham,Alabama-Birmingham,
Frank Holmes,frank-holmes-1,2007,alabama-birmingham,Alabama-Birmingham,
Maurice Gibbs,maurice-gibbs-1,2007,alabama-birmingham,Alabama-Birmingham,
Jeremy Mayfield,jeremy-mayfield-1,2007,alabama-birmingham,Alabama-Birmingham,94 (2006)
Taurus Dortch,taurus-dortch-1,2007,alabama-birmingham,Alabama-Birmingham,
Mike Davis,mike-davis-4,2007,alabama-birmingham,Alabama-Birmingham,
Andre White,andre-white-2,2007,alabama-birmingham,Alabama-Birmingham,
Howard Crawford,howard-crawford-1,2007,alabama-birmingham,Alabama-Birmingham,
Roderick Ollie,roderick-ollie-1,2007,alabama-birmingham,Alabama-Birmingham,
Thurston Rawls,thurston-rawls-1,2007,alabama-birmingham,Alabama-Birmingham,
Tyler Marsh,tyler-marsh-1,2007,alabama-birmingham,Alabama-Birmingham,
Andrew Hayles,andrew-hayles-1,2007,alabama-state,Alabama State,NA
Dustin Richmond,dustin-richmond-1,2007,alabama-state,Alabama State,NA
Richard Lott,richard-lott-1,2007,alabama-state,Alabama State,NA
Moses Edun,moses-edun-2,2007,alabama-state,Alabama State,NA
Joel Bosh,joel-bosh-1,2007,alabama-state,Alabama State,NA
Miguel Morton,miguel-morton-1,2007,alabama-state,Alabama State,NA
Tahrea Jackson,tahrea-jackson-1,2007,alabama-state,Alabama State,NA
Deshean Porchea,deshean-porchea-1,2007,alabama-state,Alabama State,NA
Tramayne Moorer,tramayne-moorer-1,2007,alabama-state,Alabama State,NA
Jared Howard,jared-howard-1,2007,alabama-state,Alabama State,NA
Jacques Leeds,jacques-leeds-1,2007,alabama-state,Alabama State,NA
Brandon Jones,brandon-jones-1,2007,alabama-state,Alabama State,NA
Kintrell Biddle,kintrell-biddle-1,2007,alabama-state,Alabama State,NA
Richard Hendrix,richard-hendrix-1,2007,alabama,Alabama,7 (2005)
Jermareo Davidson,jermareo-davidson-1,2007,alabama,Alabama,68 (2003)
Alonzo Gee,alonzo-gee-1,2007,alabama,Alabama,52 (2005)
Mykal Riley,mykal-riley-1,2007,alabama,Alabama,
Ronald Steele,ronald-steele-1,2007,alabama,Alabama,38 (2004)
Brandon Hollinger,brandon-hollinger-1,2007,alabama,Alabama,
Demetrius Jemison,demetrius-jemison-1,2007,alabama,Alabama,
Justin Tubbs,justin-tubbs-1,2007,alabama,Alabama,
Mikhail Torrance,mikhail-torrance-1,2007,alabama,Alabama,
Yamene Coleman,yamene-coleman-2,2007,alabama,Alabama,
Verice Cloyd,verice-cloyd-1,2007,alabama,Alabama,
Greg Cage,greg-cage-1,2007,alabama,Alabama,
John Dill,john-dill-1,2007,alabama,Alabama,
Kyle Sellers,kyle-sellers-1,2007,alabama,Alabama,
Avery Jukes,avery-jukes-1,2007,alabama,Alabama,
Jamar Wilson,jamar-wilson-1,2007,albany-ny,Albany (NY),NA
Jason Siggers,jason-siggers-1,2007,albany-ny,Albany (NY),NA
Brent Wilson,brent-wilson-1,2007,albany-ny,Albany (NY),NA
Brian Lillis,brian-lillis-1,2007,albany-ny,Albany (NY),NA
Jon Iati,jon-iati-1,2007,albany-ny,Albany (NY),NA
Brian Connelly,brian-connelly-1,2007,albany-ny,Albany (NY),NA
Jimmie Covington,jimmie-covington-1,2007,albany-ny,Albany (NY),NA
Brett Gifford,brett-gifford-1,2007,albany-ny,Albany (NY),NA
Carl Ross,carl-ross-1,2007,albany-ny,Albany (NY),NA
Reid Anderson,reid-anderson-1,2007,albany-ny,Albany (NY),NA
Michael Knight,michael-knight-1,2007,albany-ny,Albany (NY),NA
