mp,season,url_school,school,player,player_id,pts,g
741,2015,abilene-christian,Abilene Christian,Harrison Hawkins,harrison-hawkins-1,401,31
894,2015,abilene-christian,Abilene Christian,Parker Wentz,parker-wentz-1,362,31
747,2015,abilene-christian,Abilene Christian,LaDarrien Williams,ladarrien-williams-1,304,31
902,2015,abilene-christian,Abilene Christian,Austin Cooke,austin-cooke-1,300,31
420,2015,abilene-christian,Abilene Christian,Duran Porter,duran-porter-1,124,31
803,2015,abilene-christian,Abilene Christian,Jalen Little,jalen-little-1,92,31
269,2015,abilene-christian,Abilene Christian,Christian Albright,christian-albright-1,83,20
438,2015,abilene-christian,Abilene Christian,Riley Payne,riley-payne-1,77,30
209,2015,abilene-christian,Abilene Christian,Isaiah Tripp,isaiah-tripp-1,66,29
243,2015,abilene-christian,Abilene Christian,Drake Green,drake-green-1,63,28
216,2015,abilene-christian,Abilene Christian,Michael Grant,michael-grant-2,54,25
195,2015,abilene-christian,Abilene Christian,K.J. Maura,kj-maura-1,33,17
88,2015,abilene-christian,Abilene Christian,Alexsander Milosavljevic,alexsander-milosavljevic-1,14,21
35,2015,abilene-christian,Abilene Christian,David Hanson,david-hanson-2,3,13
706,2015,air-force,Air Force,Max Yon,max-yon-1,310,25
928,2015,air-force,Air Force,Marek Olesinski,marek-olesinski-1,308,31
689,2015,air-force,Air Force,Zach Kocur,zach-kocur-1,262,30
864,2015,air-force,Air Force,Trevor Lyons,trevor-lyons-1,246,31
714,2015,air-force,Air Force,Hayden Graham,hayden-graham-1,233,30
558,2015,air-force,Air Force,Matt Mooney,matt-mooney-1,199,29
524,2015,air-force,Air Force,Justin Hammonds,justin-hammonds-1,160,25
310,2015,air-force,Air Force,Kamryn Williams,kamryn-williams-1,104,11
259,2015,air-force,Air Force,Zach Moer,zach-moer-1,83,30
222,2015,air-force,Air Force,DeLovell Earls,delovell-earls-1,41,19
219,2015,air-force,Air Force,Ryan Manning,ryan-manning-1,39,28
125,2015,air-force,Air Force,C.J. Siples,cj-siples-1,29,18
10,2015,air-force,Air Force,Lake Lutes,lake-lutes-1,6,4
20,2015,air-force,Air Force,Jacob Van,jacob-van-1,6,7
31,2015,air-force,Air Force,Kyle Broekhuis,kyle-broekhuis-1,4,9
23,2015,air-force,Air Force,Dezmond James,dezmond-james-1,4,7
18,2015,air-force,Air Force,Frank Toohey,frank-toohey-1,3,6
5,2015,air-force,Air Force,Brendan Leonard,brendan-leonard-1,0,2
660,2015,akron,Akron,Adedeji Ibitayo,adedeji-ibitayo-1,338,34
732,2015,akron,Akron,Pat Forsythe,pat-forsythe-1,329,33
825,2015,akron,Akron,Kwan Cheatham,kwan-cheatham-1,278,35
796,2015,akron,Akron,Noah Robotham,noah-robotham-1,257,26
648,2015,akron,Akron,Reggie McAdams,reggie-mcadams-1,245,35
600,2015,akron,Akron,Antino Jackson,antino-jackson-1,217,35
810,2015,akron,Akron,Jake Kretzer,jake-kretzer-1,189,34
625,2015,akron,Akron,Isaiah Johnson,isaiah-johnson-1,182,34
674,2015,akron,Akron,Nyles Evans,nyles-evans-1,166,35
272,2015,akron,Akron,B.J. Gladden,bj-gladden-1,80,28
269,2015,akron,Akron,Aaron Jackson,aaron-jackson-2,80,29
28,2015,akron,Akron,Demetrius Treadwell,demetrius-treadwell-1,10,1
59,2015,akron,Akron,Malcolm Walters,malcolm-walters-1,8,14
18,2015,akron,Akron,Ricardo Hill,ricardo-hill-1,3,8
12,2015,akron,Akron,Mark Noble,mark-noble-1,0,6
