mp,season,url_school,school,player,player_id,pts,g
1056,2019,abilene-christian,Abilene Christian,Jaren Lewis,jaren-lewis-1,469,34
1098,2019,abilene-christian,Abilene Christian,Payten Ricks,payten-ricks-1,395,34
1092,2019,abilene-christian,Abilene Christian,Jaylen Franklin,jaylen-franklin-1,346,34
502,2019,abilene-christian,Abilene Christian,Jalone Friday,jalone-friday-1,301,23
481,2019,abilene-christian,Abilene Christian,Hayden Farquhar,hayden-farquhar-1,224,34
642,2019,abilene-christian,Abilene Christian,B.J. Maxwell,bj-maxwell-1,221,24
498,2019,abilene-christian,Abilene Christian,Joe Pleasant,joe-pleasant-1,191,34
510,2019,abilene-christian,Abilene Christian,Damien Daniels,damien-daniels-1,116,34
520,2019,abilene-christian,Abilene Christian,Trey Lenox,trey-lenox-1,76,34
155,2019,abilene-christian,Abilene Christian,Clay Gayman,clay-gayman-1,63,31
142,2019,abilene-christian,Abilene Christian,Kolton Kohl,kolton-kohl-1,59,31
84,2019,abilene-christian,Abilene Christian,Tobias Cameron,tobias-cameron-1,19,23
44,2019,abilene-christian,Abilene Christian,Chase Cobb,chase-cobb-1,15,18
26,2019,abilene-christian,Abilene Christian,Paul Hiepler,paul-hiepler-1,7,16
1005,2019,air-force,Air Force,Lavelle Scottie,lavelle-scottie-1,491,32
851,2019,air-force,Air Force,Ryan Swan-Ford,ryan-swan-ford-1,391,31
841,2019,air-force,Air Force,A.J. Walker,aj-walker-1,273,32
685,2019,air-force,Air Force,Christopher Joyce,christopher-joyce-1,241,32
681,2019,air-force,Air Force,Caleb Morris,caleb-morris-1,201,28
743,2019,air-force,Air Force,Sid Tomes,sid-tomes-1,132,32
675,2019,air-force,Air Force,Keaton Van Soelen,keaton-vansoelen-1,132,32
320,2019,air-force,Air Force,Ameka Akaya,ameka-akaya-1,125,29
427,2019,air-force,Air Force,Pervis Louder,pervis-louder-1,112,31
117,2019,air-force,Air Force,LeSean Brown,lesean-brown-1,36,13
65,2019,air-force,Air Force,Abe Kinrade,abe-kinrade-1,24,19
20,2019,air-force,Air Force,Bryce Hughes,bryce-hughes-1,6,9
12,2019,air-force,Air Force,Charles O'Briant,charles-obriant-1,6,2
17,2019,air-force,Air Force,Zach Couper,zach-couper-1,4,9
12,2019,air-force,Air Force,James Edwards,james-edwards-4,2,7
10,2019,air-force,Air Force,Nick Rene,nick-rene-1,2,4
19,2019,air-force,Air Force,Isaac Monson,isaac-monson-1,1,9
1107,2019,akron,Akron,Daniel Utomi,daniel-utomi-1,469,33
1042,2019,akron,Akron,Loren Jackson,loren-jackson-1,460,33
1077,2019,akron,Akron,Jimond Ivey,jimond-ivey-1,391,33
932,2019,akron,Akron,Tyler Cheese,tyler-cheese-1,367,33
678,2019,akron,Akron,Channel Banks,channel-banks-1,208,32
