player,player_id,season,url_school,school,rsci
Michael Lyons,michael-lyons-1,2011,air-force,Air Force,NA
Tom Fow,tom-fow-1,2011,air-force,Air Force,NA
Derek Brooks,derek-brooks-1,2011,air-force,Air Force,NA
Evan Washington,evan-washington-1,2011,air-force,Air Force,NA
Taylor Broekhuis,taylor-broekhuis-1,2011,air-force,Air Force,NA
Todd Fletcher,todd-fletcher-1,2011,air-force,Air Force,NA
Mike Fitzgerald,mike-fitzgerald-1,2011,air-force,Air Force,NA
Zach Bohannon,zach-bohannon-1,2011,air-force,Air Force,NA
Taylor Stewart,taylor-stewart-1,2011,air-force,Air Force,NA
Shawn Hempsey,shawn-hempsey-1,2011,air-force,Air Force,NA
Adam Brakeville,adam-brakeville-1,2011,air-force,Air Force,NA
Kyle Green,kyle-green-1,2011,air-force,Air Force,NA
Scott Stucky,scott-stucky-1,2011,air-force,Air Force,NA
Jamil Bailey,jamil-bailey-1,2011,air-force,Air Force,NA
Myles Jerrett,myles-jerrett-1,2011,air-force,Air Force,NA
Chase Kammerer,chase-kammerer-1,2011,air-force,Air Force,NA
Nikola Cvetinovic,nikola-cvetinovic-1,2011,akron,Akron,
Brett McClanahan,brett-mcclanahan-1,2011,akron,Akron,
Steve McNees,steve-mcnees-1,2011,akron,Akron,
Zeke Marshall,zeke-marshall-1,2011,akron,Akron,61 (2009)
Darryl Roberts,darryl-roberts-1,2011,akron,Akron,
Brett Mcknight,brett-mcknight-1,2011,akron,Akron,
Alex Abreu,alex-abreu-1,2011,akron,Akron,
Quincy Diggs,quincy-diggs-1,2011,akron,Akron,
Mike Bardo,mike-bardo-1,2011,akron,Akron,
Josh Egner,josh-egner-1,2011,akron,Akron,
Dakotah Euton,dakotah-euton-1,2011,akron,Akron,
Kyle Petersen,kyle-petersen-1,2011,akron,Akron,
C.J. Oldham,cj-oldham-1,2011,akron,Akron,
Brian Walsh,brian-walsh-1,2011,akron,Akron,
Casey Cantey,casey-cantey-1,2011,alabama-am,Alabama A&M,NA
Cornelius Hester,cornelius-hester-1,2011,alabama-am,Alabama A&M,NA
Demarquelle Tabb,demarquelle-tabb-1,2011,alabama-am,Alabama A&M,NA
Bo Amusa,bo-amusa-1,2011,alabama-am,Alabama A&M,NA
Jeremy Crutcher,jeremy-crutcher-1,2011,alabama-am,Alabama A&M,NA
Desmond Jackson,desmond-jackson-1,2011,alabama-am,Alabama A&M,NA
Jonathan Inman,jonathan-inman-1,2011,alabama-am,Alabama A&M,NA
Jerome Hunter,jerome-hunter-1,2011,alabama-am,Alabama A&M,NA
Diamon Alexander,diamon-alexander-1,2011,alabama-am,Alabama A&M,NA
Jabari Deshields,jabari-deshields-1,2011,alabama-am,Alabama A&M,NA
Reggie Porter,reggie-porter-1,2011,alabama-am,Alabama A&M,NA
Brandon Ellis,brandon-ellis-1,2011,alabama-am,Alabama A&M,NA
Reginald Martin,reginald-martin-1,2011,alabama-am,Alabama A&M,NA
Justin Banks,justin-banks-1,2011,alabama-am,Alabama A&M,NA
Quintarius Hutchinson,quintarius-hutchinson-1,2011,alabama-am,Alabama A&M,NA
Chris Burks,chris-burks-1,2011,alabama-am,Alabama A&M,NA
Jamarr Sanders,jamarr-sanders-1,2011,alabama-birmingham,Alabama-Birmingham,
Cameron Moore,cameron-moore-1,2011,alabama-birmingham,Alabama-Birmingham,
Aaron Johnson,aaron-johnson-2,2011,alabama-birmingham,Alabama-Birmingham,
Ovie Soko,ovie-soko-1,2011,alabama-birmingham,Alabama-Birmingham,
Dexter Fields,dexter-fields-1,2011,alabama-birmingham,Alabama-Birmingham,
Preston Purifoy,preston-purifoy-1,2011,alabama-birmingham,Alabama-Birmingham,
Quincy Taylor,quincy-taylor-1,2011,alabama-birmingham,Alabama-Birmingham,
Anthony Criswell,anthony-criswell-1,2011,alabama-birmingham,Alabama-Birmingham,
Robert Williams,robert-williams-2,2011,alabama-birmingham,Alabama-Birmingham,
Beas Hamga,beas-hamga-1,2011,alabama-birmingham,Alabama-Birmingham,79 (2007)
Mike Jones,mike-jones-5,2011,alabama-birmingham,Alabama-Birmingham,
Karl Moton,karl-moton-1,2011,alabama-birmingham,Alabama-Birmingham,
Kenderek Washington,kenderek-washington-1,2011,alabama-state,Alabama State,NA
Tramaine Butler,tramaine-butler-1,2011,alabama-state,Alabama State,NA
Ivory White,ivory-white-1,2011,alabama-state,Alabama State,NA
Tramayne Moorer,tramayne-moorer-1,2011,alabama-state,Alabama State,NA
Christopher Duncan,christopher-duncan-1,2011,alabama-state,Alabama State,NA
Jeffery Middlebrooks,jeffery-middlebrooks-1,2011,alabama-state,Alabama State,NA
Robert Sanders,robert-sanders-1,2011,alabama-state,Alabama State,NA
Shareif Adamu,shareif-adamu-1,2011,alabama-state,Alabama State,NA
Kaylim Noel,kaylim-noel-1,2011,alabama-state,Alabama State,NA
Ivan Johnson,ivan-johnson-2,2011,alabama-state,Alabama State,NA
Ryan Watts,ryan-watts-1,2011,alabama-state,Alabama State,NA
Stephawn Brown,stephawn-brown-1,2011,alabama-state,Alabama State,NA
Patrick Davis,patrick-davis-1,2011,alabama-state,Alabama State,NA
Dwayne Harvey,dwayne-harvey-1,2011,alabama-state,Alabama State,NA
A.J. Spencer,aj-spencer-1,2011,alabama-state,Alabama State,NA
Jordan Jefferson,jordan-jefferson-1,2011,alabama-state,Alabama State,NA
Adrian Spellman,adrian-spellman-1,2011,alabama-state,Alabama State,NA
Tony Mitchell,tony-mitchell-3,2011,alabama,Alabama,"39 (2008), 93 (2009)"
JaMychal Green,jamychal-green-1,2011,alabama,Alabama,17 (2008)
Trevor Releford,trevor-releford-1,2011,alabama,Alabama,60 (2010)
Charvez Davis,charvez-davis-1,2011,alabama,Alabama,
Senario Hillman,senario-hillman-1,2011,alabama,Alabama,44 (2007)
Chris Hines,chris-hines-2,2011,alabama,Alabama,
Andrew Steele,andrew-steele-1,2011,alabama,Alabama,
Charles Hankerson,charles-hankerson-jr-1,2011,alabama,Alabama,
Ben Eblen,ben-eblen-1,2011,alabama,Alabama,
Jason Carter,jason-carter-4,2011,alabama,Alabama,
Kendall Durant,kendall-durant-1,2011,alabama,Alabama,
Carl Engstrom,carl-engstrom-1,2011,alabama,Alabama,
Justin Luquire,justin-luquire-1,2011,alabama,Alabama,
Hunter Jeffery,hunter-jeffery-1,2011,alabama,Alabama,
Tim Ambrose,tim-ambrose-1,2011,albany-ny,Albany (NY),NA
Logan Aronhalt,logan-aronhalt-1,2011,albany-ny,Albany (NY),NA
Mike Black,mike-black-1,2011,albany-ny,Albany (NY),NA
Luke Devlin,luke-devlin-1,2011,albany-ny,Albany (NY),NA
Blake Metcalf,blake-metcalf-1,2011,albany-ny,Albany (NY),NA
Ralph Watts,ralph-watts-1,2011,albany-ny,Albany (NY),NA
